Date,Open,High,Low,Close,Adj Close,Volume
2013-09-28,156.210007,156.210007,156.210007,156.210007,156.210007,781
2013-09-29,156.210007,156.210007,156.210007,156.210007,156.210007,8783
2013-09-30,156.210007,164.889999,156.210007,164.889999,164.889999,164
2013-10-01,164.889999,164.889999,164.889999,164.889999,164.889999,247
2013-10-02,164.889999,165.759995,164.889999,165.759995,165.759995,15372
2013-10-03,163.660004,163.660004,163.660004,163.660004,163.660004,0
2013-10-04,157.130005,157.130005,157.130005,157.130005,157.130005,471
2013-10-05,157.130005,157.130005,157.130005,157.130005,157.130005,314
2013-10-06,166.389999,166.389999,150.630005,150.630005,150.630005,150
2013-10-07,122.769997,122.769997,119.150002,119.150002,119.150002,17872
2013-10-08,120.589996,120.589996,114.989998,114.989998,114.989998,11499
2013-10-09,114.989998,137.259995,114.989998,137.259995,137.259995,1372
2013-10-10,136.580002,143.020004,107.260002,143.020004,143.020004,71189
2013-10-11,143.020004,143.020004,121.559998,128.720001,128.720001,38616
2013-10-12,128.720001,128.720001,128.720001,128.720001,128.720001,0
2013-10-13,136.440002,144.020004,136.440002,144.020004,144.020004,720
2013-10-14,144.020004,144.020004,144.020004,144.020004,144.020004,288
2013-10-15,144.020004,144.020004,106.120003,136.440002,136.440002,14735
2013-10-16,136.440002,144.020004,136.440002,136.440002,136.440002,25233
2013-10-17,188.529999,188.529999,188.529999,188.529999,188.529999,0
2013-10-18,173.759995,173.759995,173.759995,173.759995,173.759995,0
2013-10-19,155.419998,155.419998,146.789993,146.789993,146.789993,146
2013-10-20,146.789993,146.789993,77.709999,77.709999,77.709999,388
2013-10-21,114.879997,114.879997,114.879997,114.879997,114.879997,574
2013-10-22,112.250000,112.250000,112.250000,112.250000,112.250000,0
2013-10-23,116.339996,271.470001,116.339996,271.470001,271.470001,169125
2013-10-24,271.470001,271.470001,271.470001,271.470001,271.470001,0
2013-10-25,271.470001,271.470001,271.470001,271.470001,271.470001,0
2013-10-26,271.470001,271.470001,271.470001,271.470001,271.470001,0
2013-10-28,260.579987,357.359985,144.309998,144.309998,144.309998,1674
2013-10-29,119.220001,119.220001,119.220001,119.220001,119.220001,0
2013-10-30,119.220001,122.199997,119.220001,120.970001,120.970001,1253
2013-10-31,147.500000,147.500000,147.000000,147.130005,147.130005,7758
2013-11-01,126.070000,130.250000,126.070000,130.250000,130.250000,3462
2013-11-02,130.250000,135.169998,130.250000,135.169998,135.169998,13517
2013-11-03,135.169998,165.809998,135.169998,154.990005,154.990005,210045
2013-11-04,203.419998,229.570007,203.419998,229.570007,229.570007,56735
2013-11-05,241.710007,241.710007,180.869995,195.970001,195.970001,104252
2013-11-06,217.039993,230.320007,217.039993,230.320007,230.320007,16122
2013-11-07,254.100006,289.549988,247.050003,279.600006,279.600006,69866
2013-11-08,338.649994,338.649994,330.549988,330.769989,330.769989,13078
2013-11-09,317.320007,330.769989,256.799988,330.769989,330.769989,30639
2013-11-10,330.769989,330.769989,245.449997,245.449997,245.449997,19061
2013-11-11,285.859985,305.440002,285.859985,305.440002,305.440002,61
2013-11-12,302.170013,302.170013,266.339996,268.760010,268.760010,96398
2013-11-13,277.600006,285.100006,267.089996,267.089996,267.089996,172836
2013-11-14,303.700012,565.890015,287.209991,292.899994,292.899994,118975
2013-11-15,304.950012,313.829987,299.029999,307.910004,307.910004,192727
2013-11-16,323.130005,323.130005,297.339996,297.339996,297.339996,5946
2013-11-17,297.339996,297.959991,264.410004,264.410004,264.410004,111565
2013-11-18,271.670013,634.969971,255.389999,445.019989,445.019989,796363
2013-11-19,495.410004,603.799988,432.859985,533.080017,533.080017,181700
2013-11-20,546.130005,546.130005,502.440002,523.190002,523.190002,75600
2013-11-21,662.369995,737.960022,608.900024,608.900024,608.900024,260030
2013-11-22,625.599976,762.460022,615.650024,615.650024,615.650024,162156
2013-11-23,745.020020,865.359985,745.020020,802.320007,802.320007,46005
2013-11-24,765.659973,793.000000,710.969971,776.590027,776.590027,176635
2013-11-25,834.820007,970.630005,770.150024,940.650024,940.650024,774427
2013-11-26,958.520020,1737.310059,910.590027,1289.209961,1289.209961,1681245
2013-11-27,1372.310059,2656.620117,1372.310059,2656.620117,2656.620117,3507933
2013-11-28,3189.820068,4258.709961,2679.879883,3323.810059,3323.810059,7891921
2013-11-29,2819.969971,3897.679932,1624.030029,2208.679932,2208.679932,1955874
2013-11-30,2899.590088,3402.760010,2430.540039,3180.169922,3180.169922,604963
2013-12-01,2976.090088,3126.929932,2498.030029,2985.669922,2985.669922,1633340
2013-12-02,2923.669922,2923.669922,2344.570068,2594.649902,2594.649902,2557416
2013-12-03,2483.110107,2692.530029,2273.699951,2617.739990,2617.739990,616058
2013-12-04,2727.320068,3661.620117,2727.320068,3194.860107,3194.860107,2304708
2013-12-05,2735.699951,2711.679932,2168.550049,2648.290039,2648.290039,1354123
2013-12-06,2539.649902,2539.649902,2239.550049,2322.729980,2322.729980,525587
2013-12-07,2223.560059,2327.689941,1984.660034,2129.219971,2129.219971,794241
2013-12-08,1901.890015,1969.739990,1756.900024,1893.140015,1893.140015,1137777
2013-12-09,1781.349976,1904.910034,1750.459961,1817.380005,1817.380005,151405
2013-12-10,1951.930054,2045.939941,1935.339966,2045.939941,2045.939941,270780
2013-12-11,2244.620117,2268.280029,2095.989990,2176.070068,2176.070068,465678
2013-12-12,2078.100098,2143.560059,1987.140015,2131.969971,2131.969971,477987
2013-12-13,2389.729980,2389.729980,2279.340088,2279.340088,2279.340088,195202
2013-12-14,1895.400024,1922.400024,1863.000000,1922.400024,1922.400024,131588
2013-12-15,2020.900024,2039.060059,1958.449951,2039.060059,2039.060059,187919
2013-12-16,2028.250000,2088.669922,1980.250000,1998.890015,1998.890015,771871
2013-12-17,2361.449951,2361.449951,2074.610107,2168.000000,2168.000000,1071317
2013-12-18,1205.920044,1205.920044,874.570007,971.409973,971.409973,944433
2013-12-19,1178.099976,1393.199951,1170.000000,1372.500000,1372.500000,270190
2013-12-20,1203.839966,1203.839966,1026.619995,1026.619995,1026.619995,97118
2013-12-21,1315.109985,1506.739990,1315.109985,1430.390015,1430.390015,97838
2013-12-22,1430.390015,1438.479980,1365.170044,1416.739990,1416.739990,312277
2013-12-23,1296.829956,1296.829956,1270.449951,1270.449951,1270.449951,45189
2013-12-24,1509.750000,1509.750000,1430.000000,1479.500000,1479.500000,134974
2013-12-25,1085.819946,1247.280029,1085.819946,1247.280029,1247.280029,51126
2013-12-26,1632.170044,1800.670044,1631.640015,1665.449951,1665.449951,525249
2013-12-27,1552.589966,1585.579956,1477.250000,1575.729980,1575.729980,133196
2013-12-28,1410.170044,1410.170044,1326.439941,1326.439941,1326.439941,3979
2013-12-29,1474.869995,1565.030029,1474.869995,1565.030029,1565.030029,87626
2013-12-30,1436.979980,1491.420044,1436.979980,1491.420044,1491.420044,122371
2013-12-31,1622.829956,1622.829956,1556.739990,1615.479980,1615.479980,41113
2014-01-01,1616.969971,1616.969971,1567.969971,1567.969971,1567.969971,24272
2014-01-02,1567.969971,1616.479980,1558.660034,1582.670044,1582.670044,1311669
2014-01-03,1647.300049,1647.300049,1550.400024,1550.400024,1550.400024,109675
2014-01-04,1617.359985,1675.890015,1585.439941,1585.439941,1585.439941,171084
2014-01-05,1762.489990,1762.489990,1537.750000,1732.920044,1732.920044,235451
2014-01-06,1711.750000,1840.280029,1615.359985,1811.069946,1811.069946,530299
2014-01-07,1510.939941,1510.939941,1364.719971,1454.400024,1454.400024,204314
2014-01-08,1433.859985,1433.859985,1328.619995,1417.040039,1417.040039,29871
2014-01-09,1766.910034,1766.910034,1748.939941,1748.939941,1748.939941,103607
2014-01-10,1655.510010,1669.680054,1611.270020,1650.400024,1650.400024,52268
2014-01-11,1684.010010,1710.050049,1626.140015,1672.439941,1672.439941,53785
2014-01-12,1647.420044,1647.420044,1616.640015,1616.640015,1616.640015,98566
2014-01-13,1488.900024,1575.000000,1488.900024,1501.500000,1501.500000,68002
2014-01-14,1411.729980,1480.839966,1391.989990,1391.989990,1391.989990,189463
2014-01-15,1438.199951,1480.020020,1438.199951,1477.469971,1477.469971,195203
2014-01-16,2148.340088,2203.959961,2076.409912,2150.570068,2150.570068,984251
2014-01-17,1566.420044,1593.430054,1566.420044,1593.430054,1593.430054,71720
2014-01-18,1495.369995,1508.040039,1495.369995,1495.369995,1495.369995,46864
2014-01-19,1603.099976,1603.099976,1581.359985,1581.359985,1581.359985,20557
2014-01-20,1431.280029,1450.959961,1412.099976,1450.959961,1450.959961,87057
2014-01-21,1622.469971,1622.469971,1567.469971,1572.969971,1572.969971,99175
2014-01-22,1409.180054,1409.180054,1362.369995,1379.609985,1379.609985,117046
2014-01-23,1354.819946,1379.010010,1306.430054,1343.199951,1343.199951,124608
2014-01-24,1508.160034,1508.160034,1401.670044,1425.040039,1425.040039,239905
