,0
0,0.123770624
1,0.156324
2,0.07100974
3,0.056454074
4,0.041862614
5,0.06359141
6,0.051438518
7,0.05985869
8,0.04055369
9,0.053173944
10,0.03988594
11,0.031725064
12,0.05775595
13,0.044707987
14,0.036924608
15,0.041692495
16,0.042716753
17,0.057751495
18,0.0823501
19,0.08383259
20,0.06982531
21,0.07440601
22,0.08514026
23,0.08915872
24,0.08885063
25,0.080707245
26,0.065066315
27,0.074266516
28,0.08248418
29,0.10951395
30,0.14899106
31,0.17025337
32,0.14416578
33,0.12621652
34,0.13228573
35,0.13882124
36,0.14558935
37,0.15792572
38,0.18985736
39,0.1446921
40,0.14661221
41,0.13701297
42,0.14893095
43,0.12190252
44,0.12917367
45,0.15216802
46,0.1618991
47,0.1493456
48,0.17189227
49,0.13266702
50,0.12140743
51,0.10385405
52,0.08853921
53,0.0717153
54,0.06949697
55,0.07233522
56,0.042171218
57,0.04415165
58,0.061150625
59,0.07232619
60,0.07727268
61,0.062670715
62,0.063874096
63,0.058752555
64,0.043013196
65,0.066304326
66,0.024461329
67,0.017285056
68,0.03907062
69,0.049452607
70,0.072311975
71,0.06567903
72,0.064019814
73,0.07797759
74,0.09556308
75,0.10535993
76,0.10839885
77,0.11341791
78,0.11499329
79,0.09234548
80,0.10332133
81,0.10259715
82,0.09326615
83,0.09290216
84,0.09632849
85,0.09948434
86,0.09567648
87,0.11685286
88,0.14420132
89,0.16912618
90,0.16305317
91,0.16428737
92,0.18479164
93,0.1651227
94,0.18965358
95,0.19181435
96,0.19161405
97,0.19153008
98,0.20861982
99,0.2096464
100,0.22378609
101,0.23394999
102,0.20856099
103,0.20378727
104,0.20152824
105,0.20506716
106,0.20669545
107,0.20112109
108,0.20899794
109,0.21409944
110,0.20757146
111,0.18826322
112,0.17065965
113,0.17962076
114,0.17933233
115,0.17594722
116,0.16645898
117,0.18147762
118,0.17810915
119,0.16279905
120,0.165243
121,0.16599345
122,0.16979098
123,0.15785547
124,0.15692092
125,0.15137908
126,0.1300766
127,0.11477797
128,0.11834536
129,0.12512654
130,0.12036428
131,0.1258613
132,0.046204038
133,0.050856244
134,0.054137014
135,0.05970704
136,0.061317597
137,0.07042607
138,0.077099584
139,0.056846987
140,0.059646007
141,0.05293013
142,0.04758268
143,0.049652144
144,0.049729206
145,0.055035964
146,0.056053963
147,0.052280698
148,0.048548624
149,0.03366017
150,0.020423848
151,0.0139760645
152,0.021253213
153,0.0031314897
154,-0.018159471
155,-0.038723268
156,-0.07287384
157,-0.11266556
158,-0.16209382
159,-0.19464928
160,-0.20040691
161,-0.20281553
162,-0.20792577
163,-0.20508212
164,-0.20638134
165,-0.19663127
166,-0.19593516
167,-0.19089746
168,-0.17589867
169,-0.18387033
170,-0.18160293
171,-0.17773804
172,-0.17127098
173,-0.17342827
174,-0.17980962
175,-0.18583956
176,-0.19156013
177,-0.19570395
178,-0.18813209
179,-0.20153327
180,-0.22405945
181,-0.23830819
182,-0.24131463
183,-0.24085559
184,-0.2598918
185,-0.2629413
186,-0.25200227
187,-0.25294775
188,-0.23654737
189,-0.2260656
190,-0.22357884
191,-0.21119557
192,-0.14906938
193,-0.13038887
194,-0.13353792
195,0.039599646
196,0.06634122
197,0.02596822
198,0.04554386
199,0.015877599
200,0.0038785886
201,-0.0038687275
202,-0.011939892
203,0.0095561985
204,-0.0027983808
205,0.012839576
206,0.010473684
207,-0.013350983
208,-0.04142175
209,-0.0513455
210,-0.067026295
211,-0.04559492
212,-0.059521765
213,-0.0204231
214,-0.021038804
215,-0.008698892
216,-0.020751338
217,0.0071742306
218,0.0107115805
219,0.045175653
220,0.04532273
221,0.07479613
222,0.09069856
223,0.09948329
224,0.100374326
225,0.06331785
226,0.07070013
227,0.047542397
228,0.051510345
229,0.044976346
230,0.027054224
231,0.015186586
232,0.02220004
233,-0.0042845714
234,-0.0069090566
235,0.005698655
236,-0.018106937
237,-0.041593377
238,-0.036851916
239,-0.031122211
240,-0.029603664
241,-0.029145919
242,-0.04929556
243,-0.010648845
244,-0.014728515
245,-0.026576776
246,-0.025264159
247,0.001379095
248,0.013707687
249,0.002086753
250,-0.012394082
251,-0.031434853
252,-0.029189412
253,0.00962469
254,0.0048400625
255,0.004115167
256,-0.0114634605
257,-0.0169053
258,-0.031853758
259,-0.039705954
260,-0.027825959
261,-0.037382625
262,-0.04318931
263,-0.042597767
264,-0.044113018
265,-0.041287612
266,-0.053746432
267,-0.049420238
268,-0.04569178
269,-0.046530478
270,-0.029226538
271,-0.002950278
272,0.015858416
273,0.06383654
274,0.10336817
275,0.11771967
276,0.13368474
277,0.1590944
278,0.18442498
279,0.18531889
280,0.1837459
281,0.16666207
282,0.14269112
283,0.14658093
284,0.15029353
285,0.15096994
286,0.14526436
287,0.14087562
288,0.13368651
289,0.13996395
290,0.12435552
291,0.11943632
292,0.086145714
293,0.06748383
294,0.04507054
295,0.0438247
296,0.046565395
297,0.050460104
298,0.05631142
299,0.059741024
300,0.056080926
301,0.055785824
302,0.059310682
303,0.060301393
304,0.09575216
305,0.07717197
306,0.07940539
307,0.05846303
308,0.049709048
309,0.0072307307
310,-0.11223981
311,-0.10040936
312,-0.106316544
313,-0.09935609
314,-0.08714011
315,-0.07813298
316,-0.064387836
317,-0.061475568
318,-0.073271014
319,-0.058450565
320,-0.055157986
321,-0.047001526
322,-0.055422798
323,-0.051735483
324,-0.05247507
325,-0.062127456
326,-0.048385106
327,-0.025865708
328,-0.03852564
329,0.017465688
330,0.030670453
331,0.029817633
332,0.037633594
333,0.0364637
334,0.033846553
335,0.0331954
336,0.014153647
337,0.01561001
338,0.026566677
339,0.03621284
340,0.055319067
341,0.061320305
342,0.07349437
343,0.09363505
344,0.10702482
345,0.13378485
346,0.12870534
347,0.1320527
348,0.118841834
349,0.11079556
350,0.09183289
351,0.08154697
352,0.0732814
353,0.05149608
354,0.050554212
355,0.06311663
356,0.056833025
357,0.06423135
358,0.05788013
359,0.05603967
360,0.04645584
361,0.054426607
362,0.059922434
363,0.06411044
364,0.067756705
365,0.06573034
366,0.06746798
367,0.06741382
368,0.06085605
369,0.08294871
370,0.10144601
371,0.10688321
372,0.10984529
373,0.1356157
374,0.123518236
375,0.13071325
376,0.070594996
377,0.04465526
378,0.043893233
379,0.036278702
380,0.031338215
381,0.03400623
382,0.031244252
383,0.00890764
384,0.02066838
385,0.02136372
386,0.015796725
387,0.022206001
388,0.03587641
389,0.035238184
390,0.053191938
391,0.060406912
392,0.059920207
393,0.069426626
394,0.08838464
395,0.09598939
396,0.09435291
397,0.0907113
398,0.09821485
399,0.0832896
400,0.0995046
401,0.07594829
402,0.061943013
403,0.07101851
404,0.07113785
405,0.074394904
406,0.0782569
407,0.070691004
408,0.060000613
409,0.06046939
410,0.04557936
411,0.043720353
412,0.03149744
413,0.031655584
414,0.022127122
415,0.028399281
416,0.026109584
417,0.045054916
