,0
0,0.1812282
1,0.18043096
2,0.20698932
3,0.20903653
4,0.19872002
5,0.21741754
6,0.25204134
7,0.27718213
8,0.3219083
9,0.3183998
10,0.32316926
11,0.32237473
12,0.31279585
13,0.29859498
14,0.24826021
15,0.28007475
16,0.2880396
17,0.27053633
18,0.30050498
19,0.2945556
20,0.35150802
21,0.3257766
22,0.31650147
23,0.34914744
24,0.35503322
25,0.3489347
26,0.3654857
27,0.38332862
28,0.40975526
29,0.43316436
30,0.4416495
31,0.39703396
32,0.40137303
33,0.38707528
34,0.3881301
35,0.38487366
36,0.38675004
37,0.3767933
38,0.43692496
39,0.41647494
40,0.4142683
41,0.39205647
42,0.36943278
43,0.39535588
44,0.3844776
45,0.34535342
46,0.36012635
47,0.36499158
48,0.36427912
49,0.37598523
50,0.41547403
51,0.42294753
52,0.5579732
53,0.5251684
54,0.5505606
55,0.574813
56,0.60491997
57,0.62584317
58,0.60879844
59,0.62356937
60,0.6555634
61,0.671916
62,0.6169037
63,0.59141827
64,0.5659899
65,0.5465263
66,0.5410374
67,0.39031982
68,0.28156132
69,0.2661956
70,0.24466175
71,0.22756162
72,0.20908025
73,0.20125264
74,0.19861002
75,0.16750038
76,0.14338198
77,0.17291172
78,0.18174158
79,0.17102258
80,0.14161511
81,0.14235286
82,0.12576765
83,0.187241
84,0.22522995
85,0.2607379
86,0.31821352
87,0.3523499
88,0.35296068
89,0.36927265
90,0.40607324
91,0.41914326
92,0.3733336
93,0.33979747
94,0.303095
95,0.31761643
96,0.25060666
97,0.24823035
98,0.19547163
99,0.20379414
100,0.20583443
101,0.2151449
102,0.232777
103,0.21221694
104,0.19881026
105,0.23191041
106,0.20675468
107,0.19331501
108,0.16687287
109,0.16573662
110,0.12196266
111,0.08763705
112,0.10288579
113,0.10231513
114,0.071468405
115,0.05453996
116,0.0574356
117,0.04348544
118,-0.0035958448
119,0.0003222674
120,0.015453467
121,0.017012356
122,0.028104275
123,0.04645666
124,0.0019649426
125,0.024492323
126,0.034546874
127,0.048484005
128,0.0029874956
129,0.016883863
130,-0.004853703
131,0.027731134
132,0.056862924
133,0.03292298
134,0.039748646
135,0.03091506
136,0.023395231
137,-0.0029204218
138,0.009457866
139,0.030504176
140,0.013645899
141,0.028828071
142,0.010092112
143,-0.0098040495
144,0.038368113
145,0.05117944
146,0.055318255
147,0.05247193
148,0.03416732
149,0.030394727
150,0.035285033
151,0.044546593
152,0.05078277
153,0.05840703
154,0.038375422
155,0.04374098
156,0.039660957
157,0.014989164
158,-0.008836834
159,0.030577475
160,0.024672907
161,0.035595857
162,0.0031701326
163,0.0131796645
164,0.030961903
165,0.009177157
166,0.054892056
167,0.09957124
168,0.09046616
169,0.06770775
170,0.108998656
171,0.119557254
172,0.13732642
173,0.08471589
174,0.058227148
175,0.013128632
176,0.011090984
177,-0.014528586
178,-0.031381506
179,-0.05865199
180,-0.06367018
181,-0.06337301
182,0.009053282
183,0.04189884
184,0.031814955
185,0.048750833
186,0.09390484
187,0.10683396
188,0.15015976
189,0.1762721
190,0.14142974
191,0.1560718
192,0.1855106
193,0.18527506
194,0.1613481
195,0.15855096
196,0.14115733
197,0.12850347
198,0.14806484
199,0.170566
200,0.19482425
201,0.16757593
202,0.18344164
203,0.2552759
204,0.2859317
205,0.33414176
206,0.33745974
207,0.34918594
208,0.36119342
209,0.3078334
210,0.3335278
211,0.33237264
212,0.31516558
213,0.25928158
214,0.27750543
215,0.32353106
216,0.32802016
217,0.34821916
218,0.33306992
219,0.36477995
220,0.36336133
221,0.30376303
222,0.3112057
223,0.34055337
224,0.33268383
225,0.33241257
226,0.30998865
227,0.32287923
228,0.31298622
229,0.31861216
230,0.28714737
231,0.26775306
232,0.25383335
233,0.25604796
234,0.25932068
235,0.269611
236,0.22125126
237,0.2252835
238,0.19558692
239,0.15477344
240,0.17135331
241,0.14059694
242,0.13463625
243,0.14555055
244,0.22113523
245,0.23524678
246,0.23857197
247,0.25212264
248,0.27921623
249,0.2634864
250,0.25130278
251,0.26458403
252,0.3092793
253,0.31668782
254,0.33251554
255,0.35421672
256,0.37882456
257,0.43196693
258,0.41669494
