,0
0,0.26757386
1,0.25308296
2,0.20030357
3,0.16503862
4,0.20421037
5,0.1816685
6,0.15031415
7,0.16716608
8,0.10776902
9,0.076548144
10,0.05762703
11,0.051952444
12,-0.013476549
13,-0.051775396
14,-0.059071053
15,-0.11120311
16,-0.09248018
17,-0.10394457
18,-0.107679725
19,-0.09984427
20,-0.08915791
21,-0.078150995
22,-0.083578534
23,-0.07886213
24,-0.10186371
25,-0.10147214
26,-0.09094571
27,-0.097948045
28,-0.0881562
29,-0.079541706
30,-0.09543326
31,-0.073843785
32,-0.06665993
33,-0.06884124
34,-0.07080005
35,-0.087438606
36,-0.10233882
37,-0.08359116
38,-0.09917547
39,-0.10169266
40,-0.06633682
41,-0.08099624
42,-0.073958226
43,-0.08310867
44,-0.058786515
45,-0.033097226
46,-0.040107973
47,-0.052181985
48,-0.05773975
49,-0.06765614
50,-0.07655021
51,-0.08064889
52,-0.06205951
53,-0.05667459
54,-0.06597655
55,-0.05102908
56,-0.014543081
57,-0.001621455
58,0.020221047
59,0.021989059
60,0.052934613
61,0.03949864
62,0.061564103
63,0.1057194
64,0.13400991
65,0.18361112
66,0.1966709
67,0.17771994
68,0.18907347
69,0.20525719
70,0.22935145
71,0.19378673
72,0.3226053
73,0.27623114
74,0.20693992
75,0.22863242
76,0.19101961
77,0.19049254
78,0.20791908
79,0.19547443
80,0.15113655
81,0.14342812
82,0.13128768
83,0.03434164
84,-0.07251875
85,-0.18796644
86,-0.29202136
87,-0.3635676
88,-0.42267478
89,-0.43845665
90,-0.44824174
91,-0.44169235
92,-0.43510568
93,-0.43526137
94,-0.42966798
95,-0.42195645
96,-0.41511956
97,-0.42743546
98,-0.44112876
99,-0.4395995
100,-0.4398856
101,-0.44347873
102,-0.4525264
103,-0.43985155
104,-0.44717976
105,-0.43786708
106,-0.43149063
107,-0.41026264
108,-0.4181618
109,-0.42627668
110,-0.42330128
111,-0.42179745
112,-0.43638948
113,-0.43003842
114,-0.416611
115,-0.41712257
116,-0.41175944
117,-0.40847954
118,-0.39292768
119,-0.3981485
120,-0.4013225
121,-0.41442892
122,-0.40564498
123,-0.40835154
124,-0.41888854
125,-0.40919432
126,-0.41173664
127,-0.4150847
128,-0.42129204
129,-0.42141438
130,-0.40816677
131,-0.39437014
132,-0.39297262
133,-0.39164087
134,-0.38062483
135,-0.38231188
136,-0.39585245
137,-0.38782093
138,-0.3763593
139,0.19988972
140,0.17226943
141,0.16274555
142,0.17032804
143,0.19338068
144,0.21935923
145,0.2373903
146,0.19146453
147,0.20064698
148,0.20833984
149,0.23141731
150,0.20198892
151,0.23561966
152,0.23209606
153,0.20347887
154,0.21778502
155,0.22280131
156,0.23312183
157,0.21482143
158,0.21284546
159,0.21011093
160,0.19540192
161,0.16853164
162,0.1891477
163,0.1705032
164,0.19625169
165,0.18192211
166,0.17797883
167,0.18870261
168,0.1949961
169,0.14942496
170,0.18669352
171,0.19711076
172,0.19377333
173,0.1629848
174,0.16181096
175,0.15504405
176,0.15371917
177,0.1430673
178,0.13502711
179,0.1177262
180,0.10448795
181,0.11402092
182,0.13032193
183,0.1267346
184,0.120789744
185,0.12368302
186,0.13496342
187,0.16056094
188,0.16105156
189,0.1705801
190,0.1635863
191,0.16358042
192,0.15935096
193,0.16389167
194,0.17344655
195,0.17005952
196,0.1677403
197,0.17966604
198,0.1697006
199,0.16540967
200,0.15905248
201,0.15432712
202,0.16169532
203,0.1487165
204,0.15634006
205,0.14223492
206,0.12964138
207,0.14455116
208,0.14781381
209,0.15869616
210,0.17076333
211,0.1713139
212,0.17251244
213,0.16230854
214,0.18795565
215,0.21653916
216,0.20733671
217,0.19727316
218,0.1864789
219,0.18828912
220,0.17772473
221,0.16895507
222,0.17545407
223,0.15434808
224,0.1403242
225,0.12769628
226,0.12853825
227,0.11493533
228,0.12789857
229,0.13382185
230,0.15752807
231,0.17838927
232,0.1922843
233,0.2254841
234,0.20533901
235,0.22854252
236,0.20836376
237,0.176181
238,0.18181337
239,0.17042318
240,0.16341233
241,0.1590346
242,0.14503327
243,0.15854809
244,0.17502011
245,0.14245461
246,0.13808857
247,0.141369
248,0.1272644
249,0.13716584
250,0.124603584
251,0.10600066
252,0.10694153
253,0.11342601
254,0.12531511
255,0.13796677
256,0.13355175
257,0.13906235
258,0.14897291
259,0.14653413
260,0.1491809
261,0.1712358
262,0.16002399
263,0.13527879
264,0.14809918
265,0.13901465
266,0.10501493
267,0.089704625
268,0.09965319
269,0.09135828
270,0.085601605
271,0.07851448
272,0.07975094
273,0.08295654
274,0.085522525
275,0.09583444
276,0.107047476
277,0.1213858
278,0.099501416
279,0.10537621
280,0.11418025
281,0.13333355
282,0.12283702
283,0.10968474
284,0.101888664
285,0.08221916
286,0.07693686
287,0.090136565
288,0.07697074
289,0.08931296
290,0.11483051
291,0.1130967
292,0.09710418
293,0.088195235
294,0.09900735
295,0.10483509
296,0.11253496
297,0.105428405
298,0.08650139
299,0.1041238
300,0.14371318
301,0.16149156
302,0.16605055
303,0.15681484
304,0.15604359
305,0.1420393
306,0.14786726
307,0.1366666
308,0.12832135
309,0.11511759
