,0
0,-0.09611717
1,-0.09776906
2,-0.11320677
3,-0.08991287
4,-0.07986049
5,-0.06993289
6,-0.06922475
7,-0.07044838
8,-0.08023662
9,-0.048677787
10,-0.055090334
11,-0.0713208
12,-0.06018065
13,-0.05472336
14,-0.066804364
15,-0.050504938
16,-0.055889435
17,-0.05269625
18,-0.037416916
19,-0.04327345
20,-0.053938508
21,-0.046635088
22,-0.04683593
23,-0.037665576
24,-0.03462083
25,-0.02602431
26,-0.03487236
27,-0.014653432
28,-0.02499937
29,-0.040897716
30,-0.037021145
31,-0.01579338
32,-0.021911424
33,-0.039216153
34,-0.044708993
35,-0.04813798
36,-0.042220153
37,-0.03958785
38,-0.054849826
39,-0.06450948
40,-0.07761687
41,-0.07406055
42,-0.07495863
43,-0.06492696
44,-0.047071323
45,-0.026510417
46,-0.029900786
47,-0.033229608
48,-0.02181005
49,-0.045052957
50,-0.028581532
51,-0.017831312
52,-0.02401267
53,-0.013579363
54,-0.02395306
55,-0.0061580986
56,-0.015405316
57,-0.02041966
58,-0.028281443
59,-0.03625949
60,-0.039423037
61,-0.058644548
62,-0.07311409
63,-0.08849279
64,-0.09561303
65,-0.082239576
66,-0.06785035
67,-0.03856984
68,-0.011181558
69,-0.046161655
70,-0.0831741
71,-0.08080207
72,-0.076402016
73,-0.051952522
74,-0.046511374
75,-0.06642586
76,-0.056694552
77,-0.056204733
78,-0.06409197
79,-0.056587495
80,-0.058063183
81,-0.04390194
82,0.00028717346
83,0.015711067
84,0.011987198
85,0.010347306
86,0.02156802
87,0.042041108
88,0.04278417
89,0.037434336
90,0.04398557
91,0.04199287
92,0.043799113
93,0.047471624
94,0.04834612
95,0.059791926
96,0.06536935
97,0.07464718
98,0.0472136
99,0.03649179
100,0.023947118
101,0.03128502
102,0.03518942
103,0.030106135
104,0.030852763
105,0.012203719
106,-0.008813528
107,-0.023744853
108,-0.023374712
109,-0.028200042
110,-0.027658883
111,-0.036578614
112,-0.032064706
113,-0.038142465
114,-0.032898072
115,-0.023516795
116,-0.0135522215
117,-0.015700068
118,-0.016903253
119,0.02101548
120,0.02576346
121,0.022644656
122,0.0436549
123,0.04796188
124,0.057930347
125,0.08979413
126,0.10645213
127,0.09877142
128,0.11796382
129,0.1109159
130,0.11918469
131,0.13103272
132,0.12748867
133,0.1411587
134,0.13296501
135,0.11802233
136,0.124882676
137,0.10252307
138,0.11143763
139,0.10833117
140,0.08678586
141,0.08915486
142,0.08371829
143,0.0819965
144,0.09243309
145,0.1021549
146,0.109437175
147,0.12529328
148,0.12973318
149,0.14262015
150,0.12439809
151,0.105164
152,0.112517856
153,0.11674688
154,0.11701288
155,0.13389607
156,0.13100922
157,0.13489483
158,0.13153659
159,0.13724105
160,0.13264838
161,0.11961942
162,0.12720898
163,0.12245767
164,0.13182126
165,0.120357096
166,0.1089889
167,0.09049112
168,0.08762551
169,0.10751824
170,0.11429504
171,0.123731986
172,0.11713186
173,0.09625413
174,0.09082236
175,0.09556742
176,0.08633177
177,0.07613312
178,0.0817432
179,0.06960141
180,0.09464598
181,0.08560869
182,0.08453799
183,0.07912222
184,0.072816215
185,0.076171376
186,0.07545014
187,0.081144266
188,0.08188174
189,0.080744274
190,0.08189139
191,0.10187911
192,0.111802496
193,0.10571128
194,0.10333166
195,0.121347316
196,0.13280477
197,0.12788425
198,0.12925236
199,0.12322955
200,0.1169238
201,0.12289539
202,0.12920755
203,0.13462324
204,0.12476772
205,0.08728241
206,0.08023874
207,0.08398752
208,0.0847144
209,0.098273516
210,0.065722875
211,0.045597088
212,0.043974813
213,0.031204153
214,0.02747802
215,0.02231476
216,0.009182948
217,0.02579172
218,0.009483809
219,0.0076321326
220,0.017145462
221,0.02590761
222,0.045811072
223,0.051322095
224,0.07905844
225,0.087124564
226,0.088699445
227,0.095415756
228,0.11237445
229,0.08699242
230,0.086399026
231,0.098986164
232,0.098551795
233,0.10140566
234,0.095203035
235,0.09450161
236,0.10902101
237,0.11182015
238,0.09765092
239,0.09459649
240,0.04753244
241,0.025128605
242,0.033967324
243,0.039817587
244,0.033593047
245,0.03744196
246,0.05251618
247,0.05242925
248,0.048208557
249,0.052686196
250,0.061365336
251,0.06071546
252,0.06979747
253,0.07921272
254,0.055190682
255,0.037440743
256,0.02612424
257,0.045837715
258,0.05103007
259,0.07273933
260,0.067759365
261,0.07094082
262,0.0680005
263,0.07194653
264,0.06260526
265,0.059738085
266,0.056158092
267,0.054420456
268,0.06364572
269,0.06815479
270,0.07439956
271,0.06356282
272,0.06427489
273,0.066262186
274,0.07260161
275,0.07348889
276,0.08205456
277,0.086193904
278,0.09143532
279,0.0643338
280,0.059998583
281,0.053734913
282,0.05651077
283,0.065026104
284,0.06825332
285,0.08819149
286,0.07882829
287,0.06484384
288,0.066917345
289,0.072359435
290,0.071999334
291,0.06850298
292,0.06936993
293,0.059971023
294,0.05582933
295,0.06209879
296,0.08028296
297,0.06606378
298,0.059008006
299,0.042729445
300,0.04004839
301,0.03527357
302,0.050792966
303,0.049582507
304,0.060525503
305,0.058081985
306,0.03493568
307,0.027108198
308,0.025785118
309,0.017629145
310,0.0015254326
311,0.009772995
312,0.023732642
313,0.026093718
314,0.0026429049
315,-0.009618858
316,-0.027468696
317,-0.019902805
318,-0.018189248
319,-0.021761522
320,-0.024305442
321,-0.031499114
322,-0.064063825
323,-0.050108917
324,-0.037397895
325,-0.022007558
326,-0.039476965
327,-0.03437738
328,-0.042832006
329,-0.05107749
330,-0.063659586
331,-0.059290927
332,-0.07965279
333,-0.08277626
334,-0.08033999
335,-0.08691471
336,-0.074115224
337,-0.06858906
338,-0.067400806
339,-0.063138984
340,-0.07384929
341,-0.078590505
342,-0.08046531
343,-0.10038713
344,-0.105978765
345,-0.11090024
346,-0.10981937
347,-0.10643237
348,-0.09911521
349,-0.09993257
350,-0.09559625
351,-0.1022648
352,-0.10497789
353,-0.11321929
354,-0.1162568
355,-0.10872589
356,-0.10319362
357,-0.10329803
358,-0.10892029
359,-0.11084323
360,-0.120251276
361,-0.12313634
362,-0.12405412
363,-0.12696205
364,-0.12639521
365,-0.1273574
366,-0.12739319
367,-0.12181349
368,-0.12157021
369,-0.12636487
