,0
0,-0.4523167
1,-0.45737025
2,-0.45749786
3,-0.460832
4,-0.13778147
5,-0.14609545
6,-0.1447908
7,-0.13720644
8,-0.13185482
9,-0.13131005
10,-0.12931052
11,-0.11788285
12,-0.11571513
13,-0.11038385
14,-0.106338084
15,-0.10358014
16,-0.06408815
17,-0.065087646
18,-0.06495914
19,-0.063234605
20,-0.07487673
21,-0.053823873
22,-0.051828384
23,-0.050208986
24,-0.051475443
25,-0.0453495
26,-0.02283124
27,-0.004191518
28,0.0094441
29,0.010068292
30,0.032753453
31,0.046678215
32,0.07406444
33,0.12000014
34,0.11346326
35,0.10621598
36,0.108661614
37,0.09646304
38,0.08146665
39,0.08261076
40,0.091783226
41,0.093768
42,0.07886574
43,0.07235762
44,0.06856095
45,0.06104794
46,0.06630612
47,0.066179104
48,0.06632537
49,0.061495252
50,0.080716655
51,0.0907323
52,0.11922636
53,0.13777302
54,0.17714167
55,0.17789447
56,0.19028164
57,0.19017933
58,0.20739578
59,0.17825805
60,0.18124649
61,0.193665
62,0.24043831
63,0.23549093
64,0.2584317
65,0.28224093
66,0.2810263
67,0.23997618
68,0.19524913
69,0.20351596
70,0.21885796
71,0.247105
72,0.27218625
73,0.28679058
74,0.30125356
75,0.30962035
76,0.27866596
77,0.28009826
78,0.25952685
79,0.26750338
80,0.27414998
81,0.29875934
82,0.2906196
83,0.31120178
84,0.22356549
85,0.2525788
86,0.2950953
87,0.29704818
88,0.29972398
89,0.29545933
90,0.29704812
91,0.2949186
92,0.27053955
93,0.23621693
94,0.22847572
95,0.20110555
96,0.22035517
97,0.24689479
98,0.26243147
99,0.2593376
100,0.26899824
101,0.29015326
102,0.3006283
103,0.2991705
104,0.23843352
105,0.21913904
106,0.21250317
107,0.18781745
108,0.197157
109,0.1692555
110,0.13004789
111,0.13875039
112,0.11163002
113,0.14129786
114,0.12888637
115,0.13445991
116,0.121302426
117,0.12379333
118,0.13140854
119,0.14072649
120,0.14128414
121,0.1493846
122,0.14386271
123,0.13392767
124,0.12156098
125,0.11139999
126,0.108831875
127,0.09003156
128,0.072815545
129,0.07690273
130,0.074231796
131,0.06343267
132,0.04915479
133,0.04524046
134,0.062388532
135,0.083375975
136,0.078308165
137,0.044006407
138,0.014400205
139,0.005629618
140,-0.035457738
141,-0.029540697
142,-0.024560815
143,-0.011741823
144,-0.001940514
145,0.017370824
146,0.023637664
147,0.022393968
148,-0.052791283
149,-0.041217014
150,-0.031688027
151,-0.018442446
152,-0.017130025
153,-0.0077828895
154,-0.0014564991
155,0.0017997567
156,0.0007917229
