,0
0,-0.038614035
1,-0.034427226
2,-0.04482262
3,-0.019298978
4,-0.03214526
5,0.008373087
6,0.02063745
7,0.020011632
8,0.019194141
9,-0.0024725143
10,-0.027566219
11,-0.049909607
12,-0.021000756
13,-0.026446147
14,-0.031796172
15,0.013800096
16,0.02396315
17,0.026868414
18,0.022121297
19,0.06274478
20,0.061741255
21,0.038239747
22,0.0106528755
23,-0.0072964774
24,-0.009790288
25,-0.012220947
26,-0.016860424
27,0.006574347
28,0.0064642024
29,0.017436955
30,0.012492703
31,0.02723718
32,0.019028163
33,0.012132097
34,-0.0010436252
35,0.040442258
36,0.04565929
37,0.03685109
38,-0.01732733
39,-0.054315627
40,-0.07138289
41,-0.075030684
42,-0.049595274
43,-0.05213701
44,-0.0720782
45,-0.10256969
46,-0.1059519
47,-0.08815897
48,-0.09796784
49,-0.08066376
50,-0.08263703
51,-0.08767671
52,-0.11098017
53,-0.11282153
54,-0.12847622
55,-0.13084781
56,-0.117302954
57,-0.11573643
58,-0.09793746
59,-0.06829417
60,-0.05155936
61,-0.0297944
62,-0.04004837
63,-0.014226293
64,-0.014188413
65,-0.015135922
66,-0.025483625
67,-0.04058855
68,-0.08856489
69,-0.0599432
70,-0.07232393
71,-0.067641065
72,-0.09226174
73,-0.08879888
74,-0.08733423
75,-0.08402897
76,-0.07674925
77,-0.056370743
78,-0.06974998
79,-0.07254942
80,-0.075441554
81,-0.0692665
82,-0.04880111
83,-0.061145097
84,-0.071164176
85,-0.10789762
86,-0.10263487
87,-0.12021394
88,-0.1292098
89,-0.105976544
90,-0.09688831
91,-0.08985109
92,-0.08895821
93,-0.08791131
94,-0.06536302
95,-0.047294937
96,-0.06308775
97,-0.06357694
98,-0.08555176
99,-0.08198814
100,-0.066881925
101,-0.031680293
102,-0.035344742
103,-0.04265388
104,-0.049597345
105,-0.08698551
106,-0.1055894
107,-0.097332336
108,-0.090829544
109,-0.084551595
110,-0.08918981
111,-0.0918579
112,-0.08547365
113,-0.077432975
114,-0.08198468
115,-0.09177523
116,-0.09823138
117,-0.09421355
118,-0.08220359
119,-0.056251414
120,-0.054974034
121,-0.048957817
122,-0.04673972
123,-0.043093137
124,-0.036769383
125,-0.049066916
126,-0.033900537
127,-0.03648264
128,-0.03427221
129,8.337572e-05
130,0.022578461
131,0.035456248
132,0.049958766
133,0.045003608
134,0.02793175
135,0.028945262
136,0.030383695
137,0.00227491
138,0.000889678
139,0.0051358514
140,0.029866645
141,-0.0203443
142,-0.018423922
143,-0.028151365
144,-0.0044523636
145,0.0068816915
146,-0.019992534
147,-0.0113059785
148,-0.0061816145
149,-0.00033110753
150,0.011461944
151,0.021149576
152,0.015353285
153,0.013175467
154,-0.0016592173
155,-0.0055034664
156,0.009237906
157,-0.023294477
158,-0.020225268
159,-0.0058487467
160,-0.013046257
161,-0.012418097
162,-0.006345965
163,0.0031692912
164,-0.007926104
165,0.022076461
166,0.03338226
167,0.059883922
168,0.0860002
169,0.08823889
170,0.09424586
171,0.09932438
172,0.099529006
173,0.090374276
174,0.101412736
175,0.10301712
176,0.11548184
177,0.07837849
178,0.07810087
179,0.08162411
180,0.07633229
181,0.084285036
182,0.07654358
183,0.048409127
184,0.04560113
185,0.042507745
186,0.044964775
187,0.060115173
188,0.07355769
189,0.096026614
190,0.08162673
191,0.06636825
192,0.07609897
193,0.045008965
194,0.055160634
195,0.054703027
196,0.057439923
197,0.05865503
198,0.051163673
199,0.03010442
200,0.03432428
201,0.035789058
202,0.013355676
203,0.013225729
204,0.016382571
205,0.024507197
206,0.04084222
207,0.04925593
208,0.052585877
209,0.031310327
210,0.015838966
211,0.013667043
212,0.011344214
213,0.009932965
214,0.0005092514
215,0.0058927704
216,-0.0116247665
217,-0.008078266
218,-0.031882696
219,-0.03077248
220,-0.044854917
221,-0.04728105
222,-0.06567631
223,-0.060062982
224,-0.050850183
225,-0.03897419
226,-0.04712993
227,-0.07538265
228,-0.07501801
229,-0.08818354
230,-0.09766847
231,-0.117506824
232,-0.13814078
233,-0.13797177
234,-0.13353588
235,-0.13353294
236,-0.13833688
237,-0.13787459
238,-0.11218592
239,-0.08758222
240,-0.089576304
241,-0.08083742
242,-0.08074961
243,-0.08214166
244,-0.086882055
245,-0.10539373
246,-0.118448436
247,-0.11578901
248,-0.124941215
249,-0.121060476
250,-0.114021875
251,-0.11811111
252,-0.10498398
253,-0.09493241
254,-0.10179768
255,-0.10521304
256,-0.09763927
257,-0.0959445
258,-0.09201203
259,-0.09154127
260,-0.07518869
261,-0.07097109
262,-0.052849323
263,-0.0502674
264,-0.085510366
265,-0.04159143
266,-0.014197005
267,0.007830182
268,0.010530585
269,0.014876918
270,0.028075213
271,-0.004187933
272,0.01931923
273,0.0077475403
274,0.0185862
275,0.015022386
276,0.02372301
277,0.024834337
278,0.0034973023
279,-0.0018435102
280,-0.00048736157
281,-0.005496978
282,0.007452
283,-0.010340923
284,0.00031110644
285,-0.021713762
286,-0.019371977
287,-0.02783917
288,-0.039125197
289,-0.022638202
290,-0.024758441
291,-0.03309372
292,-0.021604657
293,-0.013820346
294,-0.0042909943
295,0.0036229165
296,0.0029275059
297,0.014084822
298,0.019382372
299,0.028670123
300,0.025207836
301,0.025199922
302,0.030003933
303,0.04778395
304,0.05086691
305,0.046038657
306,0.03487935
307,0.03577376
308,0.054152094
309,0.087834835
310,0.11884033
311,0.11958092
312,0.1668423
313,0.18858713
314,0.16955033
315,0.16125216
316,0.14528522
317,0.14902198
318,0.1444907
319,0.13354325
320,0.06553491
321,0.057541594
322,0.060197532
323,0.06695329
324,0.06823522
325,0.087483756
326,0.069954194
327,0.07001661
328,0.07988543
329,0.05676417
330,0.035897937
331,0.029999388
332,0.012592083
333,0.016897967
334,0.005830092
335,-0.0143166
336,-0.022201765
337,-0.0292453
338,-0.015467977
339,0.0009813653
340,-0.012687968
341,-0.018708862
342,-0.025727542
343,-0.028931485
344,-0.02071188
345,-0.028424146
346,-0.010205841
347,-0.009344766
348,-0.020950414
349,-0.04635933
350,-0.05431562
351,-0.03813415
352,-0.03861925
353,-0.030223941
354,-0.0132637825
355,-0.020095456
356,-0.023800401
357,-0.03412258
358,-0.026513489
359,-0.018892106
360,-0.008787105
361,0.018272407
362,0.027685978
363,0.02575462
364,0.017799573
365,0.0087777525
366,0.022148145
367,0.013662822
368,0.015585017
369,0.016599895
370,-0.010561569
371,-0.023407752
372,-0.056362227
373,-0.0651683
374,-0.081878275
375,-0.08796889
376,-0.09930422
377,-0.094474636
378,-0.09721051
379,-0.07144765
380,-0.06243933
381,-0.090614505
382,-0.07276232
383,-0.07874543
384,-0.101763576
385,-0.11831796
386,-0.14229012
387,-0.1458467
388,-0.1553233
389,-0.15282804
390,-0.16170283
391,-0.1524087
392,-0.15016039
393,-0.16239417
394,-0.17286552
395,-0.18795049
396,-0.19223884
397,-0.16832966
398,-0.17375194
399,-0.18349497
400,-0.1622189
401,-0.17172137
402,-0.1558171
403,-0.13639249
404,-0.14131497
405,-0.14530644
406,-0.1525781
407,-0.16038114
408,-0.16055053
409,-0.18424858
410,-0.17874914
411,-0.16989288
412,-0.16974361
413,-0.15062505
414,-0.15485996
415,-0.1463324
416,-0.1466964
417,-0.15067834
418,-0.16528675
419,-0.17346215
420,-0.15901698
421,-0.15756032
422,-0.16118263
423,-0.14977624
424,-0.16049601
425,-0.1687663
426,-0.17718393
427,-0.17345466
428,-0.16119812
429,-0.1726891
430,-0.17872187
431,-0.17162752
432,-0.1691081
433,-0.1647192
434,-0.17470653
435,-0.17712593
436,-0.16073494
437,-0.1517856
438,-0.14380145
439,-0.14930774
440,-0.17441842
441,-0.18804787
442,-0.23062328
443,-0.25010443
444,-0.2607869
445,-0.25534403
446,-0.2587442
447,-0.25345236
448,-0.24914911
449,-0.24551705
450,-0.24147695
451,-0.21763615
452,-0.19499204
453,-0.18231083
454,-0.17594822
455,-0.1502277
456,-0.15187806
457,-0.14292973
458,-0.13955612
459,-0.13212745
460,-0.16100107
461,-0.16115816
462,-0.1418831
463,-0.14117257
464,-0.11738465
465,-0.122764245
466,-0.10908502
467,-0.08592556
468,-0.084583454
469,-0.095277764
470,-0.107003585
471,-0.10730257
472,-0.114424706
473,-0.12749779
474,-0.1378033
475,-0.10648405
476,-0.10574837
477,-0.0967538
478,-0.10016646
479,-0.10139267
480,-0.081143774
481,-0.07850995
482,-0.08430987
483,-0.105057634
484,-0.09238421
485,-0.073365
486,-0.06542633
487,-0.084458
488,-0.066957794
489,-0.06077885
490,-0.059672773
491,-0.057456948
492,-0.058056287
493,-0.06990056
494,-0.05684536
495,-0.058718562
496,-0.034155622
497,-0.015245611
498,0.00018373551
499,0.00807418
500,-0.020908346
501,-0.0021595052
502,0.0017041522
503,-0.0020005526
504,-0.005896978
505,-0.0039679753
506,-0.011815565
507,0.022180356
508,0.058801107
509,0.0452556
510,0.046267353
511,0.04970981
512,0.04342737
513,0.014764363
514,0.008930123
515,0.022335533
516,0.016396567
517,-0.010620151
518,-0.014525851
519,-0.010640802
520,-0.0061364872
521,2.5621615e-05
522,0.012503885
523,0.18307808
524,0.14968558
525,0.13773026
526,0.12922221
527,0.12015545
528,0.112647995
529,0.14060627
530,0.13216619
531,0.113761865
532,0.08984176
533,0.098403886
534,0.051716782
535,0.03748189
536,0.03537865
537,0.035086308
538,0.04786616
539,0.0477359
540,0.058541134
541,0.08876802
542,0.08053947
543,0.05898057
544,0.04257007
545,0.04862021
546,0.049610846
547,0.046850115
548,0.04232084
549,0.05358632
550,0.036347352
551,0.05449321
552,0.06471051
553,0.051603176
554,0.058848277
555,0.07127348
556,0.07068148
557,0.07983238
558,0.08288759
559,0.091377296
560,0.07785505
561,0.0817852
562,0.06550948
563,0.05437707
564,0.067800805
565,0.07306618
566,0.05854711
567,0.05086159
568,0.036471765
569,0.044798754
570,0.07747558
571,0.07945414
572,0.094588146
573,0.111989975
574,0.14591137
575,0.097829044
576,0.10673181
577,0.12291804
578,0.10809309
579,0.09168839
580,0.09129187
581,0.08934687
582,0.09800731
583,0.081568666
584,0.06853486
585,0.072763205
586,0.08753553
587,0.074677445
588,0.068807244
589,0.043294065
590,0.029467542
591,0.025631282
592,0.02924208
593,0.031991173
594,0.043163918
595,0.026978198
596,0.023427393
597,0.039528564
598,0.040546827
599,0.041574217
600,0.032289937
601,0.0323437
602,0.023846457
603,0.023203216
604,0.03423836
605,0.054355495
606,0.05710928
607,0.06621202
608,0.07426845
609,0.082165115
610,0.08547923
611,0.09852596
612,0.10312867
613,0.1199791
614,0.11910353
615,0.14211623
616,0.17147239
617,0.16954704
618,0.15535882
619,0.14982092
620,0.1443573
621,0.14614384
622,0.13143666
623,0.14690433
624,0.14159891
625,0.14833514
626,0.13257861
627,0.13397658
628,0.13300858
629,0.13367426
630,0.14661242
631,0.1633047
632,0.16167004
633,0.17664473
634,0.17175968
635,0.14386398
636,0.11588466
637,0.08214737
638,0.07672709
639,0.0645665
640,0.059696257
641,0.049612783
642,0.046406098
643,0.055997297
644,0.06704762
645,0.057339005
646,0.05533906
647,0.0599382
648,0.06287827
649,0.06127239
650,0.056428187
651,0.06898443
652,0.08619472
653,0.09257971
654,0.084333226
655,-0.00017420854
656,-0.0033419915
657,0.003922376
658,0.019093707
659,0.0093727475
660,0.0144660855
661,0.03495007
662,0.04486599
663,0.032603644
664,0.042774335
665,0.04464244
666,0.03417139
667,0.034420177
668,0.053198926
669,0.07004172
670,0.07494214
671,0.07834212
672,0.07200879
673,0.058686785
674,0.046769336
675,0.05967643
676,0.04695178
677,0.040302604
678,0.03113585
679,0.03666818
680,0.032550603
681,0.020620348
682,0.01613097
683,0.0020133127
684,-0.009006841
685,-0.02790614
686,-0.025625804
687,-0.030888474
688,-0.005858441
689,-0.00228302
690,0.009499842
691,-0.0011400338
692,0.014327264
693,-0.025362277
694,-0.040066496
695,-0.04293175
696,-0.031735048
697,-0.0676357
698,-0.072946824
699,-0.073913716
700,-0.06727913
701,-0.062005468
702,-0.07483868
703,-0.08470908
704,-0.09565144
705,-0.094195716
706,-0.09343176
707,-0.08132214
708,-0.09170412
709,-0.074154936
710,-0.092265315
711,-0.07976715
712,-0.06954865
713,-0.08768725
714,-0.10511022
715,-0.11199566
716,-0.11448006
717,-0.1192693
718,-0.031905904
719,-0.0032823477
720,-0.005268298
721,-0.01710515
722,0.0013067881
723,-0.010685705
724,-0.022711974
725,-0.023706187
726,-0.027856445
727,-0.023224125
728,-0.0014006179
729,-0.020836707
730,-0.012963289
731,-0.0042781383
732,-0.02411871
733,-0.043646067
734,-0.04924386
735,-0.05178023
736,-0.051514506
737,-0.045691155
738,-0.07990101
739,-0.05629827
740,-0.06777034
741,-0.07589875
742,-0.10185822
743,-0.10455959
744,-0.11147056
745,-0.1329214
746,-0.13046569
747,-0.1398908
748,-0.15087639
749,-0.15257892
750,-0.15074344
751,-0.14844307
752,-0.16280119
753,-0.16104947
754,-0.15772459
755,-0.15786137
756,-0.15069778
757,-0.14818117
758,-0.14179066
759,-0.13736412
760,-0.11956455
761,-0.1265876
762,-0.117589705
763,-0.1149202
764,-0.13348734
765,-0.12540577
766,-0.13991237
767,-0.14472099
768,-0.12252578
769,-0.14964442
770,-0.15555663
771,-0.18062079
772,-0.17425536
773,-0.1702104
774,-0.1675061
775,-0.15668069
776,-0.14218904
777,-0.15296622
778,-0.1533898
779,-0.16107173
780,-0.15452969
781,-0.14040397
782,-0.1323461
783,-0.12817715
784,-0.13156313
785,-0.114393495
786,-0.13442378
787,-0.1336321
788,-0.14135171
789,-0.16526125
790,-0.16310175
791,-0.18315753
792,-0.1748827
793,-0.19299358
794,-0.21256141
795,-0.20861885
796,-0.21667819
797,-0.21280567
798,-0.22126806
799,-0.24039912
800,-0.24187101
801,-0.24793816
802,-0.24379566
803,-0.24029008
804,-0.23788802
805,-0.2190546
806,-0.21862733
807,-0.21037753
808,-0.22343215
809,-0.21164984
810,-0.20181859
811,-0.20022693
812,-0.20917962
813,-0.21846032
814,-0.22219953
815,-0.22152276
816,-0.21021056
817,-0.21827215
818,-0.21013446
819,-0.20203362
820,-0.19804841
821,-0.20032533
822,-0.18534134
823,-0.18042396
824,-0.17050824
825,-0.1631028
826,-0.14455812
827,-0.14196226
