,0
0,0.10842803
1,0.115459934
2,0.116722465
3,0.13043287
4,0.1327788
5,0.12593368
6,0.10113012
7,0.09170807
8,0.087887555
9,0.07338116
10,0.05480981
11,0.047859848
12,0.049201258
13,0.055910945
14,0.04808671
15,0.04406318
16,0.059899166
17,0.06358173
18,0.054711252
19,0.03194674
20,0.018418282
21,-0.009198228
22,-0.01081048
23,0.0007711698
24,0.0024187015
25,-0.0054905135
26,-0.009201297
27,-0.0210383
28,-0.05661782
29,-0.06000851
30,-0.043556333
31,-0.03793557
32,-0.05238194
33,-0.029162819
34,-0.02834558
35,-0.031623974
36,-0.028876586
37,-0.033126757
38,-0.029038707
39,-0.03546972
40,-0.035273805
41,-0.028830865
42,-0.020403365
43,-0.0100993095
44,-0.001981184
45,0.01051345
46,-0.016676703
47,-0.005944619
48,-0.021739744
49,-0.024875103
50,-0.021208137
51,-0.022034837
52,-0.005618048
53,0.0029072375
54,-0.00707669
55,-0.022171332
56,-0.04284036
57,-0.0659252
58,-0.05853921
59,-0.050273642
60,-0.046612486
61,-0.06012287
62,-0.07508359
63,-0.07649175
64,-0.074022554
65,-0.06778279
66,-0.079683505
67,-0.064310215
68,-0.05104851
69,-0.03570327
70,-0.040967382
71,-0.0578356
72,-0.055899777
73,-0.05055306
74,-0.066016
75,-0.07844826
76,-0.069011085
77,-0.069236554
78,-0.064168744
79,-0.059633672
80,-0.078494444
81,-0.06886723
82,-0.050619327
83,-0.041428357
84,-0.03243851
85,-0.022580193
86,0.015574465
87,-0.013656991
88,-0.023108618
89,-0.0152015835
90,-0.024609268
91,-0.022543943
92,-0.0025526038
93,0.0031885896
94,0.008313721
95,0.012805681
96,0.0087228045
97,-0.0034315037
98,-0.014191119
99,-0.013611743
100,0.0007829338
101,0.010599475
102,0.022775631
103,0.020402059
104,0.013294026
105,0.0056381132
106,0.009830764
107,0.003014629
108,0.016380507
109,0.025450518
110,0.021943467
111,0.034332138
112,0.053387232
113,0.047872417
114,0.03149735
115,0.026134567
116,0.030386323
117,0.039943643
118,0.039983824
119,0.03908293
120,0.07110745
121,0.08204912
122,0.10574967
123,0.13073042
124,0.14874302
125,0.16976763
126,0.19309436
127,0.20342106
128,0.21954557
129,0.22898434
130,0.24647698
131,0.26136318
132,0.26643252
133,0.25102168
134,0.22010392
135,0.2504367
136,0.25704214
137,0.28514495
138,0.30470335
139,0.31691873
140,0.31786263
141,0.31076607
142,0.37235287
143,0.32299373
144,0.34277004
145,0.33858448
146,0.33879557
147,0.36570635
148,0.3498799
149,0.3554854
150,0.33873403
151,0.34839967
152,0.36555618
153,0.35668823
154,0.3564068
155,0.35788667
156,0.3564936
157,0.36449063
158,0.3811741
159,0.36463922
160,0.38279057
161,0.38461676
162,0.3946718
163,0.4005498
164,0.379999
165,0.3561224
166,0.3227248
167,0.31229588
168,0.29712284
169,0.2994072
170,0.2963519
171,0.3010758
172,0.29126427
173,0.30315313
174,0.33445597
175,0.35707647
176,0.35737705
177,0.38272843
178,0.36917192
179,0.37974566
180,0.37896198
181,0.38424602
182,0.40911338
183,0.42363825
184,0.39705566
185,0.38260454
186,0.4062436
187,0.38441196
188,0.4013379
189,0.3976492
190,0.4089806
191,0.39274794
192,0.3909333
193,0.4180149
194,0.4056374
195,0.4187142
196,0.4376971
197,0.42852217
198,0.44285947
199,0.44069594
200,0.41545382
201,0.4205109
202,0.40389377
203,0.39264822
204,0.38344622
205,0.35397562
206,0.26076326
207,0.30566052
208,0.320259
209,0.29352912
210,0.2687641
211,0.24501501
212,0.23755564
213,0.23235832
214,0.19412701
215,0.19010402
216,0.18230617
217,0.16785432
218,0.16441429
219,0.1604544
220,0.1543451
221,0.1609872
222,0.15986992
223,0.15633309
224,0.15052257
225,0.15418188
226,0.15734015
227,0.15542422
228,0.09453345
229,0.06215336
230,0.03351861
231,0.041619428
232,0.02407374
233,0.013887856
234,0.008286051
235,0.0037970208
236,-0.032423005
237,-0.04232455
238,-0.0473236
239,-0.06906972
240,-0.06166821
241,-0.055498317
242,-0.05061894
243,-0.043129474
244,-0.03984619
245,-0.046158254
246,-0.0892685
247,-0.096352525
248,-0.12925066
249,-0.14020924
250,-0.1348687
251,-0.12562688
252,-0.10694479
253,-0.11922175
254,-0.114920095
255,-0.11643945
256,-0.09946496
257,-0.089716844
258,-0.09438146
259,-0.091410965
260,-0.13433364
261,-0.13512126
262,-0.13258712
263,-0.107384555
264,-0.1128066
265,-0.105553195
266,-0.10689782
267,-0.1119771
268,-0.11842579
269,-0.15435375
270,-0.14638923
271,-0.14109744
272,-0.13674976
273,-0.13003121
274,-0.12433885
275,-0.11318838
276,-0.10846415
277,-0.111115456
278,-0.12210351
279,-0.12974133
280,-0.11944325
281,-0.13315381
282,-0.123360485
283,-0.12443896
284,-0.12885855
285,-0.06965807
286,-0.079754785
287,-0.11440045
288,-0.11204597
289,-0.119722515
290,-0.11791482
291,-0.13385034
292,-0.15295176
293,-0.14767754
294,-0.14468692
295,-0.13449705
296,-0.14248112
297,-0.1342501
298,-0.1304661
299,-0.12202473
300,-0.1001997
301,-0.10219721
302,-0.096372075
303,-0.07881671
304,-0.069983326
305,-0.09842447
306,-0.09182005
307,-0.088531315
308,-0.08058883
309,-0.07838365
310,-0.088862054
311,-0.10632523
312,-0.10223803
