,0
0,0.23025829
1,0.2100586
2,0.20423591
3,0.1758096
4,0.17200625
5,0.18050744
6,0.18375626
7,0.1941497
8,0.19474079
9,0.20727313
10,0.20460059
11,0.20437095
12,0.17076884
13,0.15044546
14,0.15209432
15,0.17255518
16,0.18276344
17,0.19612812
18,0.20399663
19,0.20761333
20,0.20058274
21,0.19235758
22,0.21522349
23,0.19342186
24,0.18250561
25,0.19350405
26,0.18387395
27,0.18552858
28,0.17031175
29,0.16066855
30,0.16206685
31,0.16083938
32,0.16704391
33,0.18898787
34,0.17908552
35,0.18741542
36,0.16814347
37,0.18133111
38,0.19546169
39,0.19543524
40,0.20876572
41,0.19038919
42,0.17244384
43,0.12086184
44,0.10005792
45,0.12582527
46,0.12649444
47,0.13274662
48,0.118846074
49,0.107693195
50,0.10122889
51,0.08896319
52,0.07028182
53,0.084217116
54,0.084279105
55,0.08482069
56,0.08727905
57,0.10103905
58,0.10870304
59,0.10594469
60,0.112433
61,0.11657972
62,0.11373364
63,0.088290595
64,0.07309624
65,0.0832232
66,0.07635691
67,0.037195843
68,0.028937172
69,0.05198966
70,0.033673406
71,0.036682837
72,0.049575657
73,0.05749098
74,0.078871936
75,0.092662856
76,0.10652532
77,0.10647837
78,0.10704379
79,0.12450262
80,0.12991355
81,0.13022034
82,0.14723356
83,0.16070987
84,0.1639579
85,0.19063243
86,0.16558357
87,0.14407693
88,0.14806938
89,0.15280952
90,0.16970485
91,0.17201519
92,0.1749656
93,0.1831656
94,0.16505189
95,0.18111397
96,0.20523301
97,0.23223555
98,0.2151483
99,0.2220094
100,0.2100409
101,0.21963567
102,0.23196971
103,0.21224838
104,0.22073425
105,0.22601339
106,0.17855597
107,0.16636205
108,0.1679666
109,0.1725334
110,0.15110151
111,0.1491203
112,0.14748883
113,0.15212035
114,0.16569743
115,0.16417477
116,0.17693096
117,0.15613702
118,0.1493354
119,0.1363542
120,0.15390812
121,0.14468314
122,0.14895752
123,0.1490019
124,0.15104596
125,0.16703783
126,0.17248805
127,0.1648117
128,0.17266268
129,0.18977901
130,0.207234
131,0.20681287
132,0.20239408
133,0.21150626
134,0.22278991
135,0.21172619
136,0.21121827
137,0.21341136
138,0.20271836
139,0.21388948
140,0.22323875
141,0.21818703
142,0.2266114
143,0.2174786
144,0.20027366
145,0.19468302
146,0.19734688
147,0.15364294
148,0.16511138
149,0.16498165
150,0.17339692
151,0.17563717
152,0.20584619
153,0.18909813
154,0.18447477
155,0.20531532
156,0.19370584
157,0.17195344
158,0.1630884
159,0.15461764
160,0.13012317
161,0.1254558
162,0.13023496
163,0.12680466
164,0.1195381
165,0.11850734
166,0.11403777
167,0.09266534
168,0.06719029
169,0.05932077
170,0.020256829
171,0.017248165
172,0.01176773
173,0.006666156
174,0.029879706
175,0.027439432
176,-0.027634641
177,-0.12435466
178,-0.19892229
179,-0.27182326
180,-0.31953067
181,-0.3468652
182,-0.3666116
183,-0.37529182
184,-0.36892375
185,-0.36365986
186,-0.35344574
187,-0.3515559
188,-0.34200343
189,-0.3230384
190,-0.3230751
191,-0.31853282
192,-0.32802078
193,-0.3346577
194,-0.33636642
195,-0.33420387
196,-0.33274442
197,-0.3443002
198,-0.34436533
199,-0.34365976
200,-0.35257983
201,-0.36435673
202,-0.3724148
203,-0.37218842
204,-0.37268597
205,-0.37204048
206,-0.3710911
207,-0.36426917
208,-0.35841286
209,-0.353989
210,-0.34206292
211,-0.33992624
212,-0.3326424
213,-0.3261863
214,-0.3186357
215,-0.32408553
216,-0.33028114
217,-0.32460082
218,-0.32568645
219,-0.329621
220,-0.33481008
221,-0.33976212
222,-0.36071715
223,-0.37048513
224,-0.37619317
225,-0.3802783
226,-0.37408206
227,-0.37704572
228,-0.37568748
229,-0.3844819
230,-0.3690887
231,-0.36885217
232,-0.3760868
233,-0.3735625
234,-0.37835804
235,-0.3561442
236,-0.3531417
237,-0.34188297
238,-0.3357481
239,-0.33519545
240,-0.31969494
241,-0.3115695
242,-0.29982153
243,-0.315683
244,-0.32046044
245,-0.31957135
246,-0.3247409
247,-0.32320267
248,-0.32915598
249,-0.020311827
250,-0.01723024
251,-0.00045527797
252,0.03691299
253,0.021724183
254,0.03659613
255,0.054199327
256,0.07385191
257,0.06364425
258,0.077427626
259,0.07589705
260,0.07400325
261,0.06959181
262,0.091973804
263,0.076653264
264,0.0800416
265,0.09167218
266,0.07680287
267,0.06723593
268,0.05015053
269,0.058278866
270,0.06744492
271,0.07020603
272,0.0721819
273,0.078429006
274,0.07133537
275,0.0645473
276,0.07353047
277,0.062776394
278,0.06857239
279,0.06609275
280,0.07748906
281,0.068566345
282,0.041977555
283,0.01678865
284,-0.009131862
285,-0.012131926
286,-0.030300071
287,-0.038931143
288,-0.04334016
289,-0.06602471
290,-0.06439327
291,-0.06351751
292,-0.082324
293,-0.055770468
294,-0.05307647
295,-0.04345073
296,-0.044028334
297,-0.060412906
298,-0.06724263
299,-0.058083095
300,-0.05781404
301,-0.054842304
302,-0.051872153
303,-0.039617572
304,-0.048477843
305,-0.0465076
306,-0.045187015
307,-0.061709248
308,-0.049345896
309,-0.06459426
310,-0.06043922
311,-0.052385285
312,-0.05133084
313,-0.041270256
314,-0.06022442
315,-0.05860076
316,-0.074130565
317,-0.07444239
318,-0.074335195
319,-0.06748424
320,-0.072110936
321,-0.06778968
322,-0.058419958
323,-0.07363792
324,-0.08431894
325,-0.08169209
326,-0.10418494
327,-0.12159844
328,-0.13292107
329,-0.12950009
330,-0.13211887
331,-0.13621815
332,-0.14401028
333,-0.12584354
334,-0.12553066
335,-0.13043047
336,-0.13567351
337,-0.14222144
338,-0.14410616
339,-0.15266295
340,-0.15439148
341,-0.14847459
342,-0.14964204
343,-0.14405414
344,-0.1272121
345,-0.1348468
346,-0.13524188
347,-0.15814881
348,-0.16979897
349,-0.20577568
350,-0.24442172
351,-0.25506252
352,-0.25548854
353,-0.26838696
354,-0.2604877
355,-0.26730615
356,-0.2372513
357,-0.22759786
358,-0.24958892
359,-0.23566169
360,-0.23486666
361,-0.22876263
362,-0.22197163
363,-0.22920632
364,-0.2283775
365,-0.22547334
366,-0.20951784
367,-0.2217794
368,-0.23341602
369,-0.22688517
370,-0.21131702
371,-0.20017597
372,-0.19806227
373,-0.16619109
374,-0.15261154
375,-0.17861177
376,-0.21117544
377,-0.23088944
378,-0.25656268
379,-0.24697493
380,-0.28179255
381,-0.28389108
382,-0.2995469
383,-0.29490736
384,-0.2884931
385,-0.28380397
386,-0.26368406
387,-0.26249576
388,-0.26909232
389,-0.25768414
390,-0.2551247
391,-0.25144607
392,-0.24388939
393,-0.25199026
394,-0.24210508
395,-0.23820265
396,-0.2548691
397,-0.26123765
398,-0.27971458
399,-0.2877953
400,-0.28497168
401,-0.27747604
402,-0.27494362
403,-0.2547229
404,-0.24342087
405,-0.24967404
406,-0.26493388
407,-0.25777534
408,-0.26192966
409,-0.25706133
410,-0.2536388
411,-0.25697872
412,-0.2492403
413,-0.25134662
414,-0.24020919
415,-0.23231153
416,-0.21551746
417,-0.22746225
418,-0.23149312
419,-0.24766745
420,-0.17366332
421,-0.17796998
422,-0.16523546
423,-0.1475912
424,-0.12376085
425,-0.072085164
426,-0.042951427
427,-0.02324058
428,-0.025898553
429,0.00802841
430,0.023597125
431,0.04614637
432,0.06710062
433,0.010190481
434,0.017531876
435,0.013374209
436,-0.00046113878
437,0.02199382
438,0.017473347
439,0.020980893
440,0.00063958485
441,0.01906639
442,-0.0017540385
443,-0.031241285
444,-0.05361971
445,-0.065503
446,-0.08609039
447,-0.07088493
448,0.061247855
449,0.07122314
450,0.08076449
451,0.07850359
452,0.10269647
453,0.10328379
454,0.08094451
455,0.08405896
456,0.09687317
457,0.106168784
458,0.119040884
459,0.12044953
460,0.10368389
461,0.1049007
462,0.08269987
463,0.07929733
464,0.07332032
465,0.07746329
466,0.110744216
467,0.13740335
468,0.17458059
469,0.16579664
470,0.18844377
471,0.15625234
472,0.14019628
473,0.14345518
474,0.11333252
475,0.12186139
476,0.11867173
477,0.19355863
478,0.23940827
479,0.28134462
480,0.24521069
481,0.23880097
482,0.25397334
483,0.22390202
484,0.20832199
485,0.23249531
486,0.2063595
487,0.18428259
488,0.20707577
489,0.24962194
490,0.23812528
491,0.24571438
492,0.26241076
493,0.26144087
494,0.2448038
495,0.20864211
496,0.13108264
497,0.08904498
498,0.08008775
499,0.10200229
500,0.1376088
501,0.10615767
502,0.09278539
503,0.09189266
504,0.07739317
505,0.07383017
506,0.097865246
507,0.06828417
508,0.06273242
509,0.056424722
510,0.054029252
511,0.039902616
512,0.032962684
513,0.0014939448
514,-0.0053542587
515,-0.017364306
516,-0.005906386
517,-0.0073072235
518,-0.03455453
519,-0.034965992
520,-0.040971823
521,-0.08113186
522,-0.09215676
523,-0.055461977
524,-0.047955163
525,-0.019774422
526,-0.0392798
527,-0.077100836
528,-0.08789564
529,-0.07476296
530,-0.05028828
531,-0.05662574
532,-0.035921954
533,-0.009448804
534,0.0010382964
535,0.014676696
536,-0.0009915242
537,-0.008418521
538,-0.019454733
539,-0.02119151
540,-0.016993094
541,-0.0041539636
542,0.027550546
543,0.0500667
544,0.058403354
545,0.08209419
546,0.07618548
547,0.06398845
548,0.055734117
549,-0.018024253
550,0.0014130222
551,0.017156716
552,0.0035982337
553,0.008140583
554,-0.018780973
555,-0.0061097653
556,-0.02895643
557,-0.037460383
558,-0.05180203
559,-0.05640143
560,-0.037364766
561,-0.03718623
562,-0.027771683
563,-0.024067217
564,-0.047971096
565,-0.02539769
566,-0.03997876
567,-0.03443641
568,-0.047030557
569,-0.053814795
570,-0.05376942
571,-0.048866358
572,-0.07807963
573,-0.09168902
574,-0.06569122
575,-0.07288633
576,-0.07561593
577,-0.07871309
578,-0.07789919
579,-0.08729105
580,-0.07979173
581,-0.077412635
582,-0.052850265
583,-0.066266835
584,-0.040018808
585,-0.026945496
586,-0.038744267
587,-0.07284656
588,-0.06778668
589,-0.099450104
590,-0.12745188
591,-0.12458387
592,-0.13121954
593,-0.14275174
594,-0.15976885
595,-0.17946348
596,-0.16020691
597,-0.17779027
598,-0.18434955
599,-0.19977368
600,-0.2239235
601,-0.23064707
602,-0.23880906
603,-0.24552606
