,0
0,0.23164532
1,0.25780356
2,0.25521898
3,0.25170192
4,0.20463204
5,0.18830375
6,0.20513657
7,0.17981508
8,0.15123874
9,0.1386237
10,0.15015483
11,0.15194574
12,0.15786788
13,0.17977846
14,0.1938538
15,0.21096987
16,0.22307776
17,0.20333478
18,0.12149499
19,0.09256249
20,0.08178729
21,0.0740398
22,0.039802566
23,0.040109247
24,0.00864847
25,0.0066287387
26,0.005581255
27,-0.001325075
28,-0.020335449
29,-0.016500294
30,-0.006403133
31,-0.0029859482
32,-0.017061733
33,-0.02228079
34,-0.018013597
35,-0.026324613
36,-0.028267805
37,-0.033640914
38,-0.03768977
39,-0.013498828
40,0.002676612
41,-0.0031468952
42,-0.01032191
43,-0.016494675
44,-0.00043401867
45,-0.016238049
46,-0.03561532
47,-0.07184894
48,-0.08502854
49,-0.087784156
50,-0.09866546
51,-0.109076485
52,-0.10076611
53,-0.10233413
54,-0.10968835
55,-0.10156196
56,-0.09040579
57,-0.08656747
58,-0.087472014
59,-0.09445719
60,-0.0851605
61,-0.07540829
62,-0.07745198
63,-0.06706393
64,-0.060151853
65,-0.06614103
66,-0.07219574
67,-0.050252665
68,-0.040347278
69,-0.032378998
70,-0.01966433
71,-0.009538192
72,0.009844547
73,0.017073909
74,0.019120585
75,0.023449946
76,0.025985843
77,0.048534192
78,0.056211732
79,0.043496728
80,0.055462226
81,0.044997033
82,0.05857882
83,0.061098155
84,0.05016454
85,0.037736375
86,0.032186348
87,0.02705297
88,0.034899276
89,0.037080854
90,0.03835925
91,0.044653453
92,0.02455606
93,0.0023104346
94,0.02558696
95,0.040224835
96,0.032283753
97,0.010116969
98,0.003685314
99,-0.087484606
100,-0.22350423
101,-0.37294
102,-0.5112324
103,-0.6223852
104,-0.6964788
105,-0.7429492
106,-0.7737773
107,-0.788459
108,-0.79288065
109,-0.7879292
110,-0.7809139
111,-0.77439576
112,-0.7676235
113,-0.75818527
114,-0.7497961
115,-0.74130267
116,-0.7385486
117,-0.73277915
118,-0.73253095
119,-0.7283345
120,-0.72762877
121,-0.7302116
122,-0.73277473
123,-0.73225063
124,-0.7292821
125,-0.72827345
126,-0.7270975
127,-0.7244513
128,-0.7243631
129,-0.72446114
130,-0.7254477
131,-0.7236646
132,-0.7220503
133,-0.7199142
134,-0.7149926
135,-0.70985234
136,0.14655542
137,0.15374902
138,0.15433528
139,0.13111897
140,0.12662736
141,0.126293
142,0.12620126
143,0.14193349
144,0.16299404
145,0.13519977
146,0.11025845
147,0.08733883
148,0.08695817
149,0.07485968
150,0.0721083
151,0.07400433
152,0.0921389
153,0.09231819
154,0.077167116
155,0.06516249
156,0.065471865
