,0
0,-0.05011857
1,-0.095945455
2,-0.10251654
3,-0.15159842
4,-0.1718849
5,-0.20103863
6,-0.21985358
7,-0.23047133
8,-0.20676966
9,-0.16951406
10,-0.11308693
11,-0.08167517
12,-0.032342426
13,0.016792042
14,-0.0006471919
15,0.06761356
16,0.1637573
17,0.24246682
18,0.2275892
19,0.23422411
20,0.26663214
21,0.34560955
22,0.4372445
23,0.4588384
24,0.45303407
25,0.3309316
26,0.32864353
27,0.31092304
28,0.24122399
29,0.23309416
30,0.16809162
31,0.1358938
32,0.16117176
33,0.19371848
34,0.31795037
35,0.3102116
36,0.40535757
37,0.38638583
38,0.54166794
39,0.5878513
40,0.5229655
41,0.507391
42,0.27009577
43,0.20060106
44,0.19709876
45,0.107122555
46,-0.032937497
47,-0.017859913
48,-0.07357239
49,0.047878034
50,0.018443191
51,0.011073685
52,0.07629497
53,0.07405029
54,0.1108214
55,0.17210896
56,0.20402488
57,0.20167083
58,0.16998778
59,0.1731415
60,0.17964622
61,0.24537033
62,0.26156467
63,0.3194883
64,0.415032
65,0.59302545
66,0.58302516
67,0.6706583
68,0.60675526
69,0.49391413
70,0.4771929
71,0.39169353
72,0.41779754
73,0.39785275
74,0.39111617
75,0.36117604
76,0.29005277
77,0.1518667
78,0.080772445
79,0.09410695
80,0.07361516
81,0.026844162
82,0.089166
83,-0.024856865
84,-0.04107781
85,-0.008529747
86,0.06406738
87,0.10745418
88,0.08038883
89,0.12828311
90,0.087946445
91,0.097748116
92,0.07165639
93,0.10446009
94,0.13081434
95,0.09374836
96,0.002785758
97,-0.011583234
98,-0.031699955
99,-0.075994916
100,-0.14843899
101,-0.1973875
102,-0.1366153
103,-0.061877374
104,-0.04297559
105,-0.053685166
106,-0.08664713
107,-0.012151553
108,-0.010542774
109,-0.013920204
110,-0.12588552
111,-0.09934649
112,-0.16368835
113,-0.1362698
114,-0.122149564
115,-0.17685305
116,-0.16344249
117,-0.20686689
118,-0.2460895
119,-0.22633639
120,-0.1709113
121,-0.18232928
122,-0.17580177
123,-0.203034
124,-0.27631998
125,-0.29426053
126,-0.31344163
127,-0.31816563
128,-0.33614197
129,-0.31579408
130,-0.3043731
131,-0.32968011
132,-0.32674447
133,-0.314642
134,-0.33829993
135,-0.3584187
136,-0.3413487
137,-0.3407937
138,-0.32332885
139,-0.29061517
140,-0.25086457
141,-0.27999446
142,-0.29539984
143,-0.31085977
144,-0.30105886
145,-0.2578687
146,-0.2769882
147,-0.2683973
148,-0.2803166
149,-0.3131734
150,-0.2640464
151,-0.2366575
152,-0.20936237
153,-0.21140932
154,-0.19447134
155,-0.21875952
156,-0.24046421
157,-0.22612062
158,-0.20855224
159,-0.18427727
160,-0.14655621
161,-0.14921498
162,-0.12605083
163,-0.12748143
164,-0.121020354
165,-0.09521945
166,-0.084347494
167,-0.049357723
168,-0.06722177
169,-0.003377648
170,0.00910211
171,0.10226599
172,0.11958702
173,0.092260875
174,0.19866966
175,0.18783996
176,0.15511994
177,0.12447245
178,0.13020952
179,0.09722376
180,0.05845015
181,0.114172615
182,0.15911813
183,0.070373654
