,0
0,0.09349963
1,0.07164876
2,0.07964367
3,0.07105501
4,0.073027536
5,0.087799564
6,0.09446263
7,0.12152821
8,0.12330474
9,0.123065636
10,0.10032782
11,0.10072997
12,0.09625992
13,0.08249985
14,0.07815036
15,0.08234064
16,0.07870415
17,0.080826044
18,0.08041157
19,0.07920246
20,0.09240703
21,0.13378601
22,0.14212517
23,0.15635489
24,0.1539096
25,0.15984677
26,0.15763679
27,0.16960378
28,0.16996099
29,0.1652974
30,0.17115942
31,0.15486372
32,0.14379607
33,0.14803861
34,0.12439141
35,0.12495482
36,0.13245976
37,0.14136094
38,0.15845655
39,0.13975541
40,0.14878751
41,0.15165491
42,0.15824573
43,0.2000068
44,0.2127776
45,0.21459842
46,0.22569074
47,0.19697617
48,0.18150724
49,0.1398431
50,0.124387264
51,0.10566497
52,0.10619806
53,0.10860954
54,0.09460336
55,0.10932176
56,0.09447174
57,0.09443021
58,0.0935169
59,0.096921235
60,0.082185104
61,0.08106752
62,0.04799032
63,0.03523179
64,0.03128502
65,0.008794551
66,-0.0007098778
67,-0.0031426605
68,-0.01866931
69,0.00015453203
70,-0.006126255
71,0.0050600274
72,0.007787847
73,0.023165518
74,0.010571093
75,0.012918433
76,0.011188129
77,0.008432044
78,0.0033010168
79,-0.014108112
80,-0.014877986
81,-0.02785606
82,-0.03557574
83,-0.025781162
84,-0.019746756
85,-0.036502477
86,-0.039873347
87,-0.050416373
88,-0.048504125
89,-0.04886365
90,-0.06364955
91,-0.06611088
92,-0.06503712
93,-0.056967113
94,-0.06890471
95,-0.07700555
96,-0.0714014
97,-0.05906834
98,-0.05275197
99,-0.043140292
100,-0.046818487
101,-0.05294984
102,-0.051355977
103,-0.06376767
104,-0.07523334
105,-0.05015756
106,-0.037829723
107,-0.03981867
108,-0.03818036
109,-0.04817287
110,-0.046986062
111,-0.03538479
112,-0.022771219
113,-0.03122506
114,-0.021918854
115,-0.03015006
116,-0.053289663
117,-0.062742606
118,-0.061998818
119,-0.069377154
120,-0.06796102
121,-0.03901096
122,-0.022124618
123,-0.009666009
124,0.014262352
125,0.039959908
126,0.03222715
127,0.026417617
128,0.032862253
129,0.014536366
130,-0.0060885586
131,-0.014315277
132,0.017954499
133,-0.0054280655
134,-0.013801457
135,0.0022643264
136,0.027867142
137,0.029800814
138,0.03778405
139,0.04046511
140,0.032446556
141,0.060470108
142,0.07430969
143,0.08690421
144,0.04617177
145,0.03620705
146,0.03695243
147,0.0461155
148,0.036618233
149,0.05517877
150,0.04837957
151,0.049578283
152,0.064065784
153,0.07077451
154,0.055993717
155,0.06510264
156,0.058187127
157,0.07902753
158,0.07475291
159,0.10097551
160,0.10180776
161,0.09216973
162,0.08972332
163,0.11442347
164,0.12863304
165,0.15090793
166,0.15139867
167,0.1051555
168,0.08679269
169,0.101811826
170,0.076788634
171,0.0763102
172,0.08901802
173,0.07701184
174,0.06953363
175,0.081777364
176,0.11183111
177,0.12015128
178,0.10802919
179,0.0887706
180,0.108553335
181,0.11930342
182,0.15203243
183,0.14349394
184,0.13872057
185,0.1302755
186,0.10942121
187,0.08867639
188,0.07945965
189,0.08618681
190,0.09491745
191,0.07513137
192,0.07387601
193,0.07661021
194,0.07883878
195,0.06924367
196,0.05181815
197,0.06393431
198,0.07620908
199,0.07368103
200,0.072399154
201,0.09368351
202,0.10503057
203,0.09794584
204,0.10661782
205,0.10026525
206,0.082255825
207,0.07363209
208,0.0590952
209,0.054062255
210,0.045227792
211,0.033577368
212,0.048726514
213,0.05679977
214,0.04844988
215,0.057428665
216,0.05350706
217,0.05552427
218,0.059601378
219,0.08618255
220,0.08777027
221,0.08110379
222,0.063627444
223,0.05998308
224,0.049511287
225,0.034704633
226,0.043359313
227,0.022202197
228,0.02086094
229,0.00025038654
230,0.008177442
231,0.020054447
232,0.025726367
233,0.020401444
234,0.01467073
235,0.004559283
236,0.009837023
237,0.0037534726
238,0.016646024
239,0.007988906
240,0.0027139739
241,0.025734697
242,0.032115463
243,0.027076578
244,0.008123849
245,0.00036546262
246,-0.028876022
247,-0.036966152
248,-0.040278792
249,-0.051959723
250,-0.060252223
251,-0.067590326
252,-0.06298335
253,-0.06533049
254,-0.060034554
255,-0.08960955
256,-0.08589113
257,-0.081920385
258,-0.050642274
259,-0.051688693
260,-0.058326844
