,0
0,-0.039232384
1,-0.03422038
2,0.0014112517
3,0.014636138
4,0.008116355
5,-0.009763031
6,-0.04594234
7,-0.061887626
8,-0.05245451
9,-0.07722446
10,-0.08257026
11,-0.09388905
12,-0.08227825
13,-0.054415476
14,-0.036633573
15,-0.047892213
16,-0.03205397
17,-0.043835003
18,-0.05105041
19,-0.028705887
20,-0.015316631
21,-0.006886298
22,-0.0065224655
23,0.012841186
24,0.013380117
25,0.012905791
26,-0.013142412
27,-0.009106341
28,-0.016559772
29,-0.025765926
30,-0.02220941
31,-0.009851782
32,0.0041770786
33,-0.0035578292
34,-0.01265533
35,-0.005558648
36,0.000854352
37,0.023242205
38,0.012082029
39,0.072061844
40,0.12210255
41,0.10387528
42,0.09340508
43,0.07764127
44,0.08053099
45,0.087678924
46,0.091809414
47,0.12710123
48,0.13245061
49,0.16176552
50,0.16434242
51,0.15306692
52,0.17654015
53,0.17649563
54,0.1722229
55,0.14892744
56,0.11978759
57,0.09863734
58,0.09181974
59,0.10888014
60,0.120563835
61,0.11047945
62,0.13356103
63,0.15791555
64,0.18252958
65,0.19132927
66,0.17273109
67,0.17472658
68,0.16419429
69,0.14592695
70,0.13789997
71,0.1479309
72,0.16302119
73,0.17088269
74,0.20546725
75,0.20427929
76,0.18435426
77,0.19564308
78,0.21428718
79,0.21591914
80,0.21316727
81,0.18354602
82,0.18052718
83,0.19791189
84,0.21908684
85,0.21302329
86,0.20764707
87,0.2084783
88,0.2006239
89,0.18483515
90,0.17781155
91,0.18009497
92,0.16593494
93,0.19045062
94,0.21227504
95,0.21315847
96,0.22257853
97,0.2106012
98,0.21943922
99,0.22391367
100,0.2534195
101,0.29188353
102,0.3253805
103,0.34351042
104,0.38541433
105,0.2676587
106,0.22366351
107,0.18846057
108,0.17351638
109,0.15343659
110,0.14753261
111,0.13088644
112,0.12779999
113,0.097368926
114,0.07904019
115,0.08775601
116,0.0951225
117,0.1286469
118,0.15774216
119,0.16753416
120,0.19232072
121,0.18650237
122,0.18039908
123,0.15964973
124,0.11736754
125,0.1052639
126,0.10755638
127,0.119764574
128,0.13574922
129,0.11537325
130,0.11369487
131,0.09459019
132,0.07655061
133,0.058978945
134,0.06367665
135,0.06920642
136,0.068232395
137,0.07364728
138,0.05920336
139,0.035201628
140,0.03177807
141,0.0061811786
142,0.0173244
143,0.03689521
144,0.06603213
145,0.05077969
146,0.05775317
147,0.070577666
148,0.06140234
149,0.06794901
150,0.06422213
151,0.07530066
152,0.07843138
153,0.07382783
154,0.0590176
155,0.0857378
156,0.099086314
157,0.09734699
158,0.10292741
159,0.12566768
160,0.14662607
161,0.14821097
162,0.15723619
163,0.14488776
164,0.114620894
165,0.09112966
166,0.081384376
167,0.048475884
168,-0.066885136
169,-0.10211634
170,-0.13395381
171,-0.12211391
172,-0.11019755
173,-0.12773718
174,-0.10357395
175,-0.09040183
176,-0.06913539
177,-0.058074947
178,-0.025677636
179,-0.04848388
180,-0.063756816
181,-0.038199775
182,-0.039139327
183,-0.0787547
184,-0.06838562
185,-0.13740945
186,-0.16966921
187,-0.22232673
188,-0.23093142
189,-0.18202454
190,-0.19396938
191,-0.1695097
192,-0.16481651
193,-0.15740098
194,-0.18714203
195,-0.20302355
196,-0.2049071
197,-0.18601355
198,-0.14276278
199,-0.1478746
200,-0.13025182
201,-0.091708094
202,-0.10878575
203,-0.08700121
204,-0.07657056
205,-0.06599818
206,-0.06382134
207,-0.04152972
208,-0.015444963
209,-0.016473904
210,-0.04096545
211,-0.038913842
212,-0.042090427
213,-0.061340917
214,-0.032164007
215,-0.09248481
216,-0.08075526
217,-0.073959745
218,-0.0873401
219,-0.09522643
220,-0.11506364
221,-0.13182867
222,-0.16411656
223,-0.1846047
224,-0.20809922
225,-0.23966946
226,-0.2527421
227,-0.2628331
228,-0.2921187
229,-0.28827333
230,-0.30256104
231,-0.32029763
232,-0.22553407
233,-0.2149322
234,-0.16787909
235,-0.1343774
236,-0.090185024
237,-0.07354332
238,-0.039373744
239,-0.06727787
240,-0.050764784
241,-0.05635529
242,-0.06016935
243,-0.06819759
244,-0.0695055
245,-0.089207396
246,-0.093203194
247,-0.047375403
248,-0.058354955
249,-0.026616774
250,-0.03457167
251,0.00019020634
252,-0.0041424492
253,0.043618858
254,0.047946844
255,0.04194141
256,0.06680254
257,0.07015377
258,0.09852784
259,0.1258642
260,0.10579954
261,0.08480318
262,0.06847865
263,0.07516945
264,0.032102793
265,-0.03178363
266,-0.023156777
267,-0.015491779
268,-0.009784094
269,0.0040991926
270,-0.020937506
271,-0.017392434
272,-0.009881459
273,-0.023609325
274,0.048767865
275,0.08238007
276,0.06013273
277,0.09151392
278,0.14925368
279,0.12888369
280,0.13229334
281,0.1251074
282,0.12666042
283,0.116654344
284,0.13260512
285,0.18526202
286,0.18341239
287,0.1909229
288,0.24361256
289,0.26519546
290,0.3002431
291,0.31793576
292,0.386956
293,0.37274987
294,0.38770637
295,0.4404339
296,0.37993968
297,0.39148858
298,0.40807837
299,0.49599215
300,0.4766686
301,0.30964535
302,0.24062227
303,0.24551313
304,0.29482415
305,0.269919
306,0.2711808
307,0.2757244
308,0.2550557
309,0.20996973
310,0.23890604
311,0.27656826
312,0.3110346
313,0.25372827
314,0.2441745
315,0.19597802
316,0.18565212
317,0.12019073
318,0.13160864
319,0.13542365
320,0.12595324
321,0.09130903
322,0.14895102
323,0.14578506
324,0.13052309
325,0.12554376
326,0.14805496
327,0.18500996
328,0.22939019
329,0.22053555
330,0.20989329
331,0.17374344
332,0.22780865
333,0.22931828
334,0.28112867
335,0.22647735
336,0.20082985
337,0.17072427
338,0.16850501
339,0.16082758
340,0.12936886
341,0.09509316
342,0.024099622
343,-0.035109002
344,-0.058708835
345,-0.06320613
346,-0.06303016
347,-0.06700082
348,-0.0631869
349,-0.07800231
350,-0.07660137
351,-0.08321423
352,-0.071078725
353,-0.07475047
354,-0.08013416
355,-0.015200763
356,-0.011726451
357,-0.03786212
358,-0.00500115
359,0.008453707
360,-0.015752278
361,-0.011095547
362,-0.033686657
363,-0.037935976
364,-0.0091895955
365,-0.003425789
366,-0.0063660303
367,-0.021530937
368,-0.036653273
369,-0.015865713
370,-0.00013640989
371,-0.010363399
372,-0.03784683
373,-0.014679418
374,-1.3638753e-05
375,0.015313843
376,0.0038641344
377,0.01910792
378,-0.008185743
379,-0.005772684
380,-0.007730758
381,-0.023543537
382,-0.010545684
383,0.03359627
384,0.041454133
385,0.089202926
386,0.12316412
387,0.14518377
388,0.123166546
389,0.09603172
390,0.06894267
391,0.045849726
392,0.08468037
393,0.057416223
394,0.05166143
395,0.03915528
396,0.09135433
397,0.10228988
398,0.12102734
399,0.16387449
400,0.14018063
401,0.11291033
402,0.08963448
403,0.10326367
404,0.081779934
405,0.033848822
406,0.034568563
407,0.034260456
408,0.019449845
409,-0.018513236
410,0.01753934
411,-0.038408145
412,-0.05054464
413,-0.105904646
414,-0.11096697
415,-0.14633352
416,-0.1592493
417,-0.16728316
418,-0.16940482
419,-0.18487604
420,-0.15549767
421,-0.15906288
422,-0.16171041
423,-0.20436056
424,-0.2720152
425,-0.29780668
426,-0.30653057
427,-0.3396334
428,-0.31813857
429,-0.264526
430,-0.23818618
431,-0.17661573
432,-0.19995256
433,-0.20647275
434,-0.20851521
435,-0.22352347
436,-0.23578079
437,-0.2615319
438,-0.30791697
439,-0.30626866
440,-0.33707267
441,-0.36577836
442,-0.3573898
443,-0.3601914
444,-0.36408797
445,-0.3689839
446,-0.3529146
447,-0.3206378
448,-0.2966113
449,-0.2771862
450,-0.2974798
451,-0.28373346
452,-0.32002363
453,-0.35023642
454,-0.3815504
455,-0.36091498
456,-0.3554546
457,-0.35610852
458,-0.34315667
459,-0.35951924
460,-0.39587113
461,-0.39301616
462,-0.39531317
463,-0.40925002
464,-0.39981955
465,-0.3888089
466,-0.42281684
467,-0.40514004
468,-0.40591404
469,-0.40287763
470,-0.38903195
471,-0.38085407
472,-0.3603247
