,0
0,-0.044877935
1,-0.060444713
2,-0.06535954
3,-0.062076144
4,-0.014493354
5,-0.011909144
6,-0.013028339
7,-0.027792811
8,-0.04573199
9,-0.058995478
10,-0.058219634
11,-0.051354427
12,-0.047909692
13,-0.030394867
14,0.015207484
15,0.038595323
16,0.049681097
17,0.05006724
18,0.06943849
19,0.06922586
20,0.07564157
21,0.09937217
22,0.10320774
23,0.10522636
24,0.11128414
25,0.12587321
26,0.1283698
27,0.12418568
28,0.13993561
29,0.14570723
30,0.14698866
31,0.15781665
32,0.18329757
33,0.19235943
34,0.17925958
35,0.1775795
36,0.17394269
37,0.18370233
38,0.17027299
39,0.18822895
40,0.2108794
41,0.2446854
42,0.24790157
43,0.18801817
44,0.20070595
45,0.20994996
46,0.21789038
47,0.21440886
48,0.2204839
49,0.21991505
50,0.2451727
51,0.22182927
52,0.2222593
53,0.25454515
54,0.25045162
55,0.24054675
56,0.23415005
57,0.20773177
58,0.1873613
59,0.21116644
60,0.23468941
61,0.23683286
62,0.2540904
63,0.2831935
64,0.3204606
65,0.37643042
66,0.35198578
67,0.33641204
68,0.3328941
69,0.33680543
70,0.3425432
71,0.34451857
72,0.36099693
73,0.36849716
74,0.37983805
75,0.44265985
76,0.3723937
77,0.36820367
78,0.3786727
79,0.3438435
80,0.3288547
81,0.31507555
82,0.3082444
83,0.26764885
84,0.29243892
85,0.30594578
86,0.29570687
87,0.29260734
88,0.2905931
89,0.2565679
90,0.25008103
91,0.23737778
92,0.24299505
93,0.2500652
94,0.26696065
95,0.2958302
96,0.30941728
97,0.31726968
98,0.32563567
99,0.2974617
100,0.2981046
101,0.30287248
102,0.31120256
103,0.3212662
104,0.32937288
105,0.32759508
106,0.3220481
107,0.3104263
108,0.30408385
109,0.30261183
110,0.30585098
111,0.2924763
112,0.27578527
113,0.2501768
114,0.23157176
115,0.2180447
116,0.20628785
117,0.18281853
118,0.18752879
119,0.21100691
120,0.21060704
121,0.19408524
122,0.21334699
123,0.21812434
124,0.17501134
125,0.09374214
126,0.06766786
127,0.016361156
128,-0.005070072
129,0.0035270273
130,0.032082826
131,0.01582614
132,0.034835625
133,0.040128917
134,0.039792027
135,0.048449956
136,0.07744494
137,0.06083891
138,0.03952829
139,0.04167946
140,0.04308174
141,0.024427686
142,0.009485586
143,0.026726834
144,0.048425864
145,0.080795445
146,0.07243
147,0.08611167
148,0.12931295
149,0.061573785
150,0.0631414
151,0.06434708
152,0.064754434
153,0.06665004
154,0.09496213
155,0.08183128
156,0.09864639
157,0.12285422
158,0.12917316
159,0.12450201
160,0.10813598
161,0.10659275
162,0.085435376
163,0.085195646
164,0.095283635
165,0.08047421
166,0.07287402
167,0.09253489
168,0.07798849
169,0.060684122
170,0.0651074
171,0.07330456
172,0.06572641
173,0.07461236
174,0.043913152
175,0.034032553
176,0.032217346
177,0.02859993
178,0.03563913
179,0.051757615
180,0.10660267
181,0.13002446
182,0.19588532
183,0.2675335
184,0.28684908
185,0.3803644
186,0.36919782
187,0.26832736
188,0.23989785
189,0.23662421
190,0.28675708
191,0.3225742
192,0.3704215
193,0.47801152
194,0.4358088
195,0.42645994
196,0.36118498
197,0.37452066
198,0.36045903
199,0.35626987
200,0.35790125
201,0.34492093
202,0.3741727
203,0.37359068
204,0.385961
205,0.37666944
206,0.3476513
207,0.3819961
208,0.4034457
209,0.4585167
210,0.46898443
211,0.42931372
212,0.4074687
213,0.38400578
214,0.35388944
215,0.3648868
216,0.31292313
217,0.2868996
218,0.29398316
219,0.31566748
220,0.3401167
221,0.323028
222,0.2890479
223,0.24159347
224,0.2560506
225,0.20890458
226,0.1785566
227,0.19646242
228,0.20336685
229,0.15847386
230,0.120776534
231,0.0935534
232,0.08132208
233,0.08420303
234,0.05203989
235,0.06354605
236,0.046158362
237,0.03669188
238,0.020145021
239,0.023396393
240,0.04553742
241,0.07297892
242,0.121204376
243,0.17079322
244,0.19411261
245,0.20357648
246,0.23823749
247,0.23038693
248,0.30994081
249,0.11704183
250,0.0867592
251,0.052981865
252,0.046045978
253,0.07218697
254,0.10416425
255,0.13189043
256,0.120548055
257,0.13591082
258,0.15141864
259,0.17745315
260,0.2214011
261,0.18619846
262,0.22548214
263,0.18627451
264,0.22748108
265,0.21003127
266,0.13349529
267,0.110825226
268,0.081377275
269,0.083516516
270,0.08107937
271,0.06373767
272,-0.01500375
273,0.016997166
274,0.007721615
275,0.028649064
276,0.04724751
277,0.034216106
278,0.0676584
279,0.14706992
280,0.14230488
281,0.14767495
282,0.13257776
283,0.091811225
284,0.09508056
285,0.115638904
286,0.14105436
287,0.14216161
288,0.16891503
