,0
0,-0.07601736
1,-0.09444845
2,-0.08822597
3,-0.10665245
4,-0.09462048
5,-0.10055569
6,-0.100182615
7,-0.100653626
8,-0.10946966
9,-0.114377946
10,-0.12752935
11,-0.1296768
12,-0.10975466
13,-0.11068834
14,-0.09243586
15,-0.07866684
16,-0.07401043
17,-0.064326815
18,-0.059158288
19,-0.067445785
20,-0.06966991
21,-0.05591549
22,-0.0719044
23,-0.049872227
24,-0.05513097
25,-0.052485
26,-0.04884356
27,-0.037027378
28,-0.027713146
29,-0.041439954
30,-0.046118103
31,-0.047542002
32,-0.05446502
33,-0.06197038
34,-0.058795363
35,-0.058972426
36,-0.056683306
37,-0.05717409
38,-0.07070538
39,-0.07285968
40,-0.065720595
41,-0.10415268
42,-0.10723128
43,-0.119568884
44,-0.11184903
45,-0.06414961
46,-0.054858327
47,-0.08054632
48,-0.06379803
49,-0.053256553
50,-0.06672493
51,-0.067646615
52,-0.07690041
53,-0.10655374
54,-0.11303786
55,-0.113559306
56,-0.12682615
57,-0.12845741
58,-0.121070996
59,-0.12204832
60,-0.13166852
61,-0.12931818
62,-0.13031238
63,-0.13373832
64,-0.1370117
65,-0.12825759
66,-0.12559818
67,-0.12259171
68,-0.13763955
69,-0.14272939
70,-0.14003764
71,-0.12785648
72,-0.12790868
73,-0.13655807
74,-0.12134473
75,-0.12321737
76,-0.12550367
77,-0.13257475
78,-0.13618287
79,-0.13464342
80,-0.14027925
81,-0.13279529
82,-0.129703
83,-0.123019546
84,-0.109150454
85,-0.08543193
86,-0.083558336
87,-0.10219956
88,-0.11311984
89,-0.12442957
90,-0.13825195
91,-0.17269732
92,-0.17718083
93,-0.17763983
94,-0.19792943
95,-0.20586382
96,-0.20395985
97,-0.20126766
98,-0.18405688
99,-0.17487554
100,-0.17434222
101,-0.16379999
102,-0.14837003
103,-0.15421632
104,-0.1518184
105,-0.1338527
106,-0.120864995
107,-0.12140772
108,-0.11425069
109,-0.095461
110,-0.09183316
111,-0.09380389
112,-0.08059193
113,-0.07432314
114,-0.074141555
115,-0.089241065
116,-0.0777472
117,-0.055642102
118,-0.05226614
119,-0.049831074
120,-0.043346167
121,-0.025421742
122,-0.014493139
123,-0.007937661
124,0.004118844
125,0.005036136
126,0.018527031
127,0.023486907
128,0.020048102
129,0.006298163
130,0.017333142
131,0.018471984
132,0.011117932
133,0.019680306
134,0.028806573
135,0.037202865
136,0.045114547
137,0.0632046
138,0.01819437
139,0.009888598
140,0.021122161
141,0.025467534
142,0.05330878
143,0.050039172
144,0.054701094
145,0.07011505
146,0.08800217
147,0.10510338
148,0.11294189
149,0.12069781
150,0.13662638
151,0.14750521
152,0.1261562
153,0.16291048
154,0.15830946
155,0.150603
156,0.18868594
157,0.14065328
158,0.1566182
