,0
0,0.04351087
1,0.05346631
2,0.072777644
3,0.048408672
4,0.040431526
5,0.047049746
6,0.066917844
7,0.064753875
8,0.07493223
9,0.084905155
10,0.08348299
11,0.06980197
12,0.06764329
13,0.07623186
14,0.08496053
15,0.06099422
16,0.07416744
17,0.070738494
18,0.08439881
19,0.07823977
20,0.07242628
21,0.07394132
22,0.114272356
23,0.1712042
24,0.22470157
25,0.1991128
26,0.24324241
27,0.24937224
28,0.20400049
29,0.20677572
30,0.20549978
31,0.22451998
32,0.2172845
33,0.21697795
34,0.20754491
35,0.19532165
36,0.20333914
37,0.20220527
38,0.16474563
39,0.16930743
40,0.17862213
41,0.17258292
42,0.16926523
43,0.12831329
44,0.112485744
45,0.09035804
46,0.08211684
47,0.080676414
48,0.053412177
49,0.049641263
50,0.054395054
51,0.068053916
52,0.0815759
53,0.08172831
54,0.08602683
55,0.10362954
56,0.07948259
57,0.08037813
58,0.07436886
59,0.054351002
60,0.034986887
61,0.052234083
62,0.046962753
63,0.04730465
64,0.055712126
65,0.053959068
66,0.03300077
67,0.00032361364
68,0.0068403697
69,0.00020823395
70,0.00884159
71,0.020195195
72,0.03627207
73,0.045429215
74,0.045195118
75,0.053736173
76,0.046436958
77,0.050702527
78,0.05610456
79,0.0634462
80,0.06218199
81,0.086498894
82,0.08243881
83,0.065297335
84,0.048764832
85,0.03455051
86,-0.0144635085
87,-0.040802743
88,-0.05412179
89,-0.06183503
90,-0.11693541
91,-0.14973357
92,-0.18039905
93,-0.16991457
94,-0.17105849
95,-0.17484884
96,-0.18270992
97,-0.17054638
98,-0.17137246
99,-0.1595146
100,-0.16527201
101,-0.17874326
102,-0.17355224
103,-0.18792595
104,-0.19357619
105,-0.19241533
106,-0.18239142
107,-0.16511165
108,-0.15196232
109,-0.13949718
110,-0.14535367
111,-0.1285422
112,-0.10749968
113,-0.101667866
114,-0.10295339
115,-0.09750965
116,-0.10246821
117,-0.08686292
118,-0.089406475
119,-0.08038637
120,-0.080278866
121,-0.06788212
122,-0.07243511
123,-0.068174176
124,-0.055838235
125,-0.05968249
126,-0.05481202
127,-0.048320208
128,-0.04537025
129,-0.024975464
130,-0.031159163
131,-0.061231248
132,-0.037836544
133,-0.02512313
134,-0.016288798
135,-0.037554488
136,-0.030983172
137,-0.022711206
138,-0.026523225
139,-0.013513781
140,-0.037936475
141,-0.05972539
142,-0.08255072
143,-0.07589657
144,-0.087820105
145,-0.11671881
146,-0.1084801
147,-0.105401486
148,-0.12043883
149,-0.1077781
150,-0.119559884
151,-0.078468
152,-0.070467025
153,-0.07532552
154,-0.05793465
155,-0.049880736
156,-0.03984467
157,-0.06041392
158,-0.046778534
159,-0.056793943
160,-0.06685899
161,-0.037497524
162,-0.059283085
163,-0.07302505
164,-0.09858132
165,-0.10081085
166,-0.11922185
167,-0.10314631
168,-0.07961224
169,-0.07756357
170,-0.09057298
171,-0.10628246
172,-0.12193464
173,-0.14063062
174,-0.17353724
175,-0.15838328
176,-0.17302799
177,-0.1592853
178,-0.13364284
179,-0.15553015
180,-0.13909069
181,-0.14740247
182,-0.17024054
183,-0.1638421
184,-0.16558318
185,-0.14889026
186,-0.15197174
187,-0.16658223
188,-0.16171966
189,-0.16527113
190,-0.16731913
191,-0.16247924
192,-0.18468052
193,-0.19433062
194,-0.18771335
195,-0.18876697
196,-0.17820215
197,-0.19191436
198,-0.1811453
199,-0.1947388
200,-0.20951755
201,-0.24510732
202,-0.25771677
203,-0.24699047
204,-0.25478724
205,-0.27286652
206,-0.28448066
207,-0.28397474
208,-0.2563316
209,-0.22513305
210,-0.22471237
211,-0.2048601
212,-0.18507951
213,-0.17575674
214,-0.18406992
215,-0.15697291
216,-0.17240146
217,-0.17431192
218,-0.13859476
219,-0.10581415
220,-0.0948053
221,-0.11436535
222,-0.11758811
223,-0.12899126
224,-0.12412967
225,-0.11870568
226,-0.10459595
227,-0.10799838
228,-0.08522549
229,-0.07106978
230,-0.067660265
231,-0.06758598
232,-0.08767441
233,-0.071636975
234,-0.05948372
235,-0.044479277
236,-0.024065116
237,0.013146302
238,0.029037366
239,0.023093954
240,0.051127367
241,0.026596427
242,0.004321604
243,0.0055155894
244,0.020265302
245,0.028885651
246,0.059207678
247,0.049420238
248,0.025874505
249,0.046106618
250,0.050387267
251,0.063797936
252,0.067940086
253,0.073234156
254,0.09205309
255,0.11304723
256,0.1070042
257,0.0963069
258,0.071493916
259,0.06399192
260,0.06592037
261,0.06868383
262,0.098157056
263,0.10109748
264,0.104332276
265,0.14834808
266,0.151663
267,0.17902228
268,0.15739381
269,0.19401419
270,0.17033544
271,0.1676495
272,0.22203745
273,0.21670407
274,0.28693196
275,0.26080564
276,0.29687098
277,0.15191571
278,0.17836927
279,0.15227872
280,0.123035625
281,0.17117211
282,0.14476255
283,0.1645349
284,0.14777273
285,0.16055268
286,0.089220166
287,0.15034729
288,0.19049038
289,0.23601256
290,0.23125057
291,0.22784738
292,0.2063353
293,0.2179645
294,0.18317923
295,0.21315357
296,0.22141641
297,0.2201722
298,0.20337914
299,0.21407202
300,0.22956233
301,0.19531122
302,0.17384276
303,0.15853934
304,0.19959696
305,0.2166912
306,0.23076802
307,0.20866738
308,0.1776433
309,0.19299226
310,0.17024444
311,0.1993822
312,0.1304595
313,0.13112012
314,0.13095032
315,0.15754214
316,0.14042293
317,0.11481569
318,0.13494277
319,0.11185972
320,0.062001478
321,0.03564348
322,0.03569534
323,0.051021963
324,0.05006057
325,0.0052784486
326,-0.03900338
327,-0.051829167
328,-0.056987096
329,-0.057155374
330,-0.056339037
331,-0.043165844
332,-0.0435597
333,-0.050753973
334,-0.0049406826
335,0.019140143
336,0.03985112
337,0.002773223
338,0.012748489
339,-0.02708245
340,-0.053118587
341,-0.02739764
342,-0.05933114
343,-0.020265916
344,-0.015934823
345,-0.019187337
346,-0.018436888
347,0.0013090638
348,-0.023550406
349,-0.016226176
350,0.019728009
351,0.011573119
352,0.031000525
353,0.03864439
354,0.04561711
355,0.021678478
356,0.015591342
357,0.0036423528
358,-0.022965068
359,-0.027385723
360,-0.043011382
361,-0.03349814
362,-0.0127570685
363,-0.0153408125
364,-0.010737505
365,-0.0400548
366,-0.051510975
367,-0.07693747
368,-0.10368023
369,-0.10318208
370,-0.12401299
371,-0.16666448
372,-0.18529452
373,-0.16626786
374,-0.17070878
375,-0.16393986
376,-0.13945094
377,-0.13363189
378,-0.16915396
379,-0.17380603
380,-0.1603813
381,-0.15774551
382,-0.17605361
383,-0.1563417
384,-0.1451451
385,-0.13654763
386,-0.15691584
387,-0.12598565
388,-0.10980087
389,-0.12305704
390,-0.10853812
391,-0.1171974
392,-0.14358512
393,-0.17473431
394,-0.17619605
395,-0.1409937
396,-0.15926962
397,-0.156335
398,-0.14125125
399,-0.15281676
400,-0.19628379
401,-0.16147222
402,-0.19295463
403,-0.20060645
404,-0.22493196
405,-0.25608522
406,-0.25139835
407,-0.26510233
408,-0.26045546
409,-0.2843013
410,-0.28605628
411,-0.29001743
412,-0.3030781
413,-0.31515944
414,-0.33971947
415,-0.36370528
416,-0.38217866
417,-0.39655742
418,-0.41733015
419,-0.4300578
420,-0.42655286
421,-0.44062653
422,-0.44208482
423,-0.4444806
424,-0.4298368
425,-0.4247109
426,-0.41383693
427,-0.4101773
428,-0.4048927
429,-0.40753904
430,-0.41095063
431,-0.41603163
432,-0.4019837
433,-0.39080805
434,-0.36152786
435,-0.31758937
436,-0.32574496
437,-0.31577784
438,-0.27907076
439,-0.26713622
440,-0.25476944
441,-0.24861449
442,-0.2331152
443,-0.25791827
444,-0.24998209
445,-0.3022756
446,-0.31444752
447,-0.29024735
448,-0.28600568
449,-0.2814412
450,-0.28047547
451,-0.279424
452,-0.2271554
453,-0.24215728
454,-0.23999497
455,-0.21265638
456,-0.23129192
457,-0.23474593
458,-0.21381934
459,-0.18235156
460,-0.17118834
461,-0.17872272
462,-0.26433665
463,-0.25430933
464,-0.20094316
465,-0.2604831
466,-0.22762623
467,-0.23426875
468,-0.19237131
469,-0.12725738
470,-0.09572824
471,-0.06975936
472,-0.027357027
473,-0.102873325
474,-0.04021
475,-0.057737432
476,-0.032717362
477,0.012098717
478,-0.005612277
479,0.024016963
480,0.08324207
481,0.05084153
482,0.048396315
483,0.06267902
484,0.06757374
485,0.0010734787
486,0.04645602
487,0.070126995
488,0.0743081
489,0.16687356
490,0.17264883
491,0.13278607
492,0.06515733
493,0.11983131
494,0.058937013
495,0.08000209
496,0.18667346
497,0.18122624
498,0.093478024
499,0.19703329
500,0.18502708
501,0.17170194
502,0.15202719
503,0.13749273
504,0.16566747
505,0.12955931
506,0.13800114
507,0.089514
508,0.10597829
509,0.14468747
510,0.122056164
511,0.1322133
512,0.17654659
513,0.16935341
514,0.19554757
515,0.1718325
516,0.10015
517,0.09478581
518,0.07066448
519,0.08975524
520,0.07778473
521,0.14107436
522,0.22148311
523,0.27991855
524,0.30848202
525,0.28392735
526,0.33023548
527,0.24705327
528,0.19280957
529,0.2843264
530,0.25268424
531,0.28669876
532,0.24691853
533,0.23666264
534,0.18736488
535,0.16219915
536,0.16891608
537,0.17760408
538,0.16308618
539,0.116596684
540,0.09306255
541,0.016499387
542,-0.008966375
543,0.01115567
544,0.0546908
545,0.06829781
546,0.04876664
547,0.035122894
548,0.11592997
549,0.12703542
550,0.19349486
551,0.18966523
552,0.25968105
553,0.20313293
554,0.16339837
555,0.17377803
556,0.18209885
557,0.25294688
558,0.21203423
559,0.14364293
560,0.1702942
561,0.19015457
562,0.21376961
563,0.13549685
564,0.10279813
565,0.05519341
566,0.039189756
567,0.07698235
568,0.013137337
569,-0.02682358
570,-0.014593342
571,0.021653915
572,-0.022718046
573,0.010992293
574,0.0052955626
575,-0.011352722
576,0.034508538
577,0.03826434
578,0.02903968
579,0.0053016306
580,-0.033937976
581,-0.0373274
582,-0.025991526
583,0.015411533
584,-0.0029106154
585,-0.029876705
586,-0.02252072
587,-0.039962824
588,-0.030151967
589,-0.07364493
590,-0.054227475
591,0.005775104
592,0.011396749
593,0.008986027
594,0.07705134
595,0.056058004
596,0.06742536
597,0.08477573
598,0.088999406
599,0.06021419
600,0.05495998
601,0.018130548
602,0.03486235
603,0.031312272
604,0.10609327
605,0.1443162
606,0.123404205
607,0.13518979
608,0.153341
609,0.118022405
610,0.13247459
611,0.121763274
612,0.106555745
613,0.115198135
614,0.14375007
615,0.14335477
616,0.0982852
617,0.08788087
618,0.06121906
619,0.03989651
620,-0.004282907
621,0.034648426
622,0.05177413
623,0.060935978
624,0.08652915
625,0.08473568
626,0.054127425
627,0.0558594
628,0.06494205
629,0.084975846
630,0.108535595
631,0.124789976
632,0.11473997
633,0.14893596
634,0.14205547
635,0.16818124
636,0.17623371
637,0.14770913
638,0.1306907
639,0.1245394
640,0.108689606
641,0.10120933
642,0.09444353
643,0.09069034
644,0.12348515
645,0.17494738
646,0.20074776
647,0.19453192
648,0.2081265
649,0.18995401
650,0.18211102
651,0.13262296
652,0.149961
653,0.14610618
654,0.15624997
655,0.13885933
656,0.10843172
657,0.06582545
658,0.039896686
659,0.029704627
660,0.0054177884
661,0.006931646
662,-0.006273406
663,-0.009892121
664,-0.029617116
665,-0.026609875
666,-0.006015534
667,0.019126356
668,0.03743839
669,0.042109583
670,0.061769743
671,0.046190094
672,0.03761432
673,0.06566246
674,0.0811856
675,0.057338197
676,0.043822397
677,0.025794437
678,0.000494529
679,0.003553132
680,0.015545417
681,0.022104148
682,0.03201232
683,0.010447743
684,0.03232678
685,0.066549495
686,0.09013412
687,0.091770194
688,0.05724896
689,0.016076108
690,0.006930014
691,0.0063449377
692,0.027393706
693,0.02960694
694,0.036097728
695,0.071421966
696,0.105193906
697,0.08354938
698,0.08425573
699,0.09470984
700,0.04487654
701,0.063878685
702,0.07623831
703,0.057304908
704,0.071151145
705,0.055735003
706,0.1022058
707,0.110555105
708,0.070903115
